max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,condition,subject,gesture
226,1,107.575,81,5203.412025,422,8606,6,2.879310345,3.606621776,3.556402785,0.296832038,9.458698724,288.5297421,6,3.456521739,4.258221067,4.209995207,0.2161846902,8.847468913,340.6576854,pillow,P8,constant
288,219,258.1625,265,329.3783228,210,20653,3.755725191,3.534188034,3.66970153,3.677113981,0.003378957334,0.8625085245,293.5761224,4.262411348,4.124528302,4.210324268,4.224624838,0.001486874505,0.6969288592,336.8259414,pillow,P8,constant
290,213,251.15,249,381.7240506,297,20092,3.921933086,3.75,3.83798283,3.832650273,0.001779263806,0.9495995851,307.0386264,4.225409836,4.100746269,4.178094049,4.182095524,0.0007920334507,0.6693029318,334.247524,pillow,P8,constant
314,249,280.8,283,268.1113924,345,22464,3.911262799,3.730769231,3.827630683,3.830105699,0.001750290417,1.259342562,306.2104547,4.225806452,4.053691275,4.177260214,4.187606655,0.001341281646,0.7669769979,334.1808172,pillow,P8,constant
751,32,121.0125,114,5953.050475,1776,9681,4.170439414,3.074380165,3.551720618,3.577310091,0.05147590543,5.05447781,284.1376494,4.436781609,3.354194407,4.052421712,4.067696415,0.04316561498,6.478316307,324.193737,pillow,P8,no
107,2,69.05,75,523.0101266,271,5524,3.95,2.945454545,3.385492071,3.416666667,0.07789003257,5.365131404,270.8393657,4.854545455,2,4.235336439,4.304463171,0.1538796391,8.781575196,338.8269151,pillow,P8,no
360,89,208.8875,178.5,9166.65807,721,16711,3.880952381,3.364583333,3.608129351,3.593656038,0.01825770608,2.431081474,288.6503481,5.363636364,3.303278689,4.381084492,4.523208329,0.3043502256,4.900282913,350.4867594,pillow,P8,pat
239,60,171.2125,170.5,1520.82769,552,13697,4.133333333,3.397435897,3.646713354,3.624277457,0.0216679374,2.765401904,291.7370684,4.970149254,3.982857143,4.54267069,4.573567614,0.0409846073,4.144418518,363.4136552,pillow,P8,pat
147,27,89.5625,87.5,1095.869462,365,7165,4.235294118,3.370786517,3.64503142,3.634634635,0.02693996614,4.532423146,291.6025136,4.536231884,3.551724138,3.955933567,3.93350525,0.05057920731,5.562761371,316.4746853,pillow,P8,pat
199,80,129.2875,129.5,1026.485918,421,10343,3.703517588,3.198113208,3.470016898,3.464885954,0.01777414423,3.093764693,277.6013518,4.87755102,3.527472527,4.097408143,4.085189645,0.09236327,5.441277064,327.7926514,pillow,P8,pat
74,22,52.3,57.5,226.5417722,252,4184,4.407407407,3.088235294,3.595097596,3.461842849,0.1321174443,5.6559596,287.6078077,3.983050847,2.52,3.261316366,3.329414838,0.1454018726,7.450458254,260.9053093,pillow,P8,scratch
174,35,92.2125,84,1277.25807,446,7377,3.467532468,2.125,3.004894326,3.152380952,0.1424234959,4.694019234,240.3915461,4,3.455882353,3.789869494,3.812374067,0.01283036985,3.680128441,303.1895595,pillow,P8,scratch
181,63,134.35,133.5,650.5848101,371,10748,3.638888889,3.012195122,3.350002666,3.316783217,0.0222677617,3.346301917,268.0002132,4.825396825,3.713178295,4.042641872,3.983471074,0.04566927717,4.212336246,323.4113498,pillow,P8,scratch
224,41,146.625,148,2250.81962,526,11730,3.747058824,2.935483871,3.403259938,3.425880712,0.04130481468,2.741819384,272.260795,4.512195122,3.722222222,4.151583574,4.198526193,0.04544890205,3.931655186,332.1266859,pillow,P8,scratch
151,3,77.55,90,2713.364557,403,6204,5,2.466666667,3.339230446,3.218187275,0.2477461732,8.588181124,267.1384357,4.5,2.75,3.482457349,3.437293046,0.103059377,7.235918971,278.5965879,pillow,P8,slide
111,2,51.5,49.5,989.6708861,392,4120,4,2.285714286,3.304186522,3.315913978,0.09863026085,8.525936047,264.3349217,4.040816327,2.914285714,3.456364657,3.433035714,0.07209885834,6.57430456,276.5091726,pillow,P8,slide
375,57,228.425,249.5,9855.66519,581,18274,4.142857143,3.647540984,3.951654838,3.971236411,0.01880598771,1.76746779,316.1323871,4.01509434,3.328,3.841993187,3.931537916,0.03442704647,1.829246226,307.359455,pillow,P9,constant
446,282,367.65,377,2594.382278,471,29412,4.193939394,4.022421525,4.092871073,4.066811248,0.002981424421,0.8820957254,327.4296859,3.926315789,3.801033592,3.867709845,3.868662414,0.0005722243083,0.6882879941,309.4167876,pillow,P9,constant
526,351,423.6375,404,2439.145411,439,33891,4.163538874,3.903474903,4.059512031,4.07079434,0.004898498772,0.9954985802,324.7609625,3.961439589,3.771153846,3.865115603,3.851024003,0.002493061418,0.5976076725,309.2092483,pillow,P9,constant
521,381,468.35,476.5,1185.243038,500,37468,3.995850622,3.862745098,3.954487134,3.966223924,0.001111392969,0.6172615701,316.3589707,3.877159309,3.76426799,3.803147213,3.800838667,0.0003483586033,0.5574059343,304.2517771,pillow,P9,constant
40,5,18.85,18,63.06582278,172,1508,3.65,2.181818182,3.047097773,3.093073593,0.1323516459,11.6164706,243.7678218,5.7,3,4.204753141,4.282857143,0.4420239922,13.85609834,336.3802513,pillow,P9,no
25,1,9.7125,9.5,29.37199367,139,777,6,2.333333333,3.392020849,3.307894737,0.4526329082,29.0007914,271.3616679,6,1.5,3.854670465,3.732142857,1.260735128,27.82979243,308.3736372,pillow,P9,no
136,68,113.25,120,356.6202532,276,9060,3.681481481,2.794117647,3.218567423,3.20656825,0.04670851501,3.577139853,257.4853939,3.985185185,3.044117647,3.531406643,3.538596491,0.0504747497,4.649836074,282.5125314,pillow,P9,pat
316,102,183.4625,175.5,3650.023892,575,14677,3.732954545,3.050359712,3.281570037,3.266569955,0.02670711631,2.814777244,262.525603,4.221153846,2.854545455,3.479576016,3.284351961,0.1853095157,4.100793965,278.3660813,pillow,P9,pat
280,117,193.7125,205,1393.270728,595,15497,4.025510204,3.392344498,3.796318904,3.871416871,0.03320759285,1.891783878,303.7055123,3.201149425,2.840182648,3.033165398,3.031478175,0.008857840482,2.471189713,242.6532318,pillow,P9,pat
228,30,138.125,154,2399.68038,612,11050,4.580645161,3.266666667,3.908634063,3.920751328,0.1184599728,3.54449932,312.690725,3.262569832,1.449275362,2.682627166,2.970502236,0.3367253286,6.051766808,214.6101733,pillow,P9,pat
