0,11,0,7,28,19,2,8,10,0,18,0,23,23,0,19,0,0,9,0,0,0,0,19,27,0,23,52,13,13,10,6,2,9,2,0
20,0,0,0,5,0,0,0,1,0,10,0,24,21,11,2,0,17,8,26,12,6,8,0,5,0,0,74,2,0,0,4,11,0,0,9
19,12,8,12,11,0,8,0,0,10,0,0,5,23,29,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,1,5,0,0,0,0,0,0,14,0,18,0,0,19,0,14,19,61,0,8,0,0,0,4,6,0
0,0,0,6,13,5,49,0,0,6,0,0,22,0,22,21,0,22,27,21,12,0,0,6,0,0,15,54,0,0,31,0,11,8,0,4
12,0,0,0,1,9,4,0,0,0,0,9,0,0,0,6,0,0,10,0,13,22,0,0,0,0,0,61,0,3,0,8,10,1,2,8
0,2,0,1,4,14,15,3,0,3,0,0,0,0,5,0,0,0,42,0,0,0,0,13,7,0,14,37,0,5,3,21,3,8,2,6
0,23,12,9,0,14,0,15,35,0,4,0,34,45,34,45,4,0,0,17,29,0,7,0,12,25,15,18,0,9,20,0,6,9,0,5
0,24,0,0,0,0,0,0,37,12,27,3,29,0,9,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
54,11,0,0,10,0,0,0,31,46,26,18,6,0,1,10,16,13,30,24,36,0,10,12,0,0,5,18,0,7,0,8,7,10,7,4
0,22,0,20,0,10,27,0,12,20,0,12,0,31,25,16,18,14,10,10,24,6,6,18,8,33,0,0,0,0,0,1,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,5,0,0,3,6,0,3,9,31,0,12,0,0,15,13,16,7,46,12,51,5,0,18,27,0,4,11,9,0,2,0,0,0,0,1
