12,3,3,2,0,0,0,0,0,9,0,0,0,39,0,0,0,0,19,1,13,0,0,10,24,29,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,9,0,0,0,13,22,17,41,18,21,12,29,28,0,0,0,9,10,14,0,31,24,2,16,12,7,0,0,5,8,0,14,8,1,2
0,36,16,0,15,20,0,0,15,0,0,3,0,45,27,0,0,13,11,4,0,0,0,0,12,32,27,22,2,4,20,0,0,0,8,4
19,2,10,28,23,0,24,0,9,27,8,10,16,18,0,22,0,23,0,0,11,0,20,16,16,0,4,1,8,3,7,14,8,7,8,0
22,56,0,0,0,0,0,0,0,0,33,8,3,0,0,28,0,0,0,5,0,31,12,4,0,0,0,5,3,3,7,13,3,0,7,3
0,4,0,22,1,0,8,13,0,0,0,0,12,33,0,0,0,4,31,29,0,0,12,1,23,2,0,1,0,10,0,0,0,0,2,0
8,0,0,0,0,0,0,0,0,0,12,0,18,0,0,8,0,11,8,6,0,35,14,15,0,0,0,0,4,8,12,4,0,6,2,0
0,0,0,0,0,0,31,3,0,30,0,0,6,25,0,0,0,17,3,0,0,0,0,0,34,9,0,21,8,8,0,14,1,1,13,0
17,20,0,0,7,2,33,0,0,0,27,0,0,41,0,0,0,0,29,13,31,14,16,0,17,2,20,0,1,5,0,6,5,0,3,0
30,28,0,0,3,8,29,17,0,6,21,8,49,29,14,21,5,19,0,18,0,10,22,0,16,0,8,10,0,11,14,3,0,0,0,0
0,17,0,0,0,0,7,0,0,15,28,4,7,0,2,0,0,0,18,32,10,11,0,0,30,14,16,9,1,0,0,20,4,0,0,0
8,17,25,0,0,25,0,74,36,0,0,24,30,0,0,0,6,5,34,12,13,10,3,11,0,5,33,0,1,14,0,0,0,0,0,0
0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,8,16,10,5,10,19,5,16,0,0,2,0,38,0,16,0,9,16,25,0,0,13,5,22,27,17,7,6,10,12,12,4,16,4,8
0,0,0,0,0,9,0,0,6,10,10,16,2,17,26,40,0,10,17,27,23,0,3,0,6,5,19,11,12,2,0,1,1,0,2,0
0,14,3,16,17,0,48,0,0,0,4,0,7,0,0,27,0,3,33,5,26,5,16,6,4,8,16,3,1,0,3,7,11,9,8,7
11,0,0,0,0,0,26,41,0,0,32,0,14,5,24,0,0,0,4,3,0,20,0,7,0,0,0,1,9,4,0,1,11,0,0,4
0,13,0,4,0,3,14,0,6,0,11,0,0,24,0,0,12,19,0,0,0,0,0,3,9,0,0,1,0,0,9,11,0,12,8,2
1,5,0,11,0,0,0,0,0,14,0,0,9,0,0,7,0,10,0,35,0,6,0,0,8,14,17,10,8,11,2,2,2,9,9,2
0,2,7,23,0,0,0,0,0,8,0,2,0,77,0,0,0,0,0,0,0,13,6,0,28,0,0,0,6,3,0,0,0,6,12,2
25,0,0,12,0,9,10,0,0,16,22,0,0,71,20,9,19,0,0,30,0,0,0,4,0,0,18,6,6,6,14,0,5,7,2,0
9,0,1,8,0,0,25,23,19,0,0,9,10,81,0,18,18,6,0,11,26,6,1,14,5,0,0,0,0,0,7,8,0,5,4,0
