max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,subcondition,subject,gesture
1170,57,420,252.5,118397.3418,35982,33600,5.298245614,2.056097561,3.626065129,3.593676576,0.3342916263,42.25914857,290.0852103,5.672688629,1.332075472,3.514280364,3.589619468,0.7727422433,75.54324778,281.1424291,flat,P8,poke
1091,39,410.4,247,118139.9392,35740,32832,5.321428571,1.9375,3.625248756,3.717145576,0.3499904467,53.26201373,290.0199005,5.647558386,1.134078212,3.512853234,3.60151718,0.8412469487,86.32473632,281.0282587,flat,P8,poke
1122,69,416.1125,233,129877.8733,37605,33289,4.783050847,2.449814126,3.621548135,3.592555995,0.3322084875,50.96711984,289.7238508,5.584615385,1.196261682,3.480635759,3.484504132,0.8110215655,80.75238681,278.4508607,flat,P8,poke
1183,72,437.3375,250,135112.8087,39089,34987,4.464516129,2.47029703,3.603927138,3.624975546,0.221984964,40.55428727,288.314171,5.640776699,1.15932914,3.450859797,3.382475978,0.7228837232,74.42652191,276.0687838,flat,P8,poke
1120,91,428.5625,251.5,118219.515,35643,34285,4.800720288,2.076923077,3.561506852,3.640713341,0.2776514706,45.62967333,284.9205482,5.608299595,1.445727483,3.517766325,3.545723034,0.7641030259,81.55846913,281.421306,flat,P8,poke
1157,38,417.2625,241.5,126678.5758,37126,33381,4.868686869,2.430107527,3.631078489,3.731427916,0.2501201207,41.49523702,290.4862791,5.33814433,1.200394867,3.464766474,3.467248284,0.6714056234,79.11657956,277.181318,flat,P8,poke
1197,72,427.7625,239,114947.3479,34901,34221,4.949152542,1.601466993,3.614398128,3.653730896,0.2880240606,44.14495199,289.1518502,5.669128508,1.302777778,3.425438072,3.434129902,0.7569770972,74.66086091,274.0350458,flat,P8,poke
7014,28,577.4,182,1301079.433,59747,46192,4.682424242,1.815384615,3.591155745,3.600852421,0.3031025976,46.29588569,287.2924596,5.624105012,1.378265413,3.683012631,3.706073897,0.8686983391,79.57125999,294.6410105,flat,P8,poke
6702,28,501.175,207.5,827682.2475,40435,40094,5.100917431,1.685606061,3.57475286,3.572477161,0.4417321864,55.79961007,285.9802288,5.534461911,1.208333333,3.598554043,3.633977313,0.8804990269,85.38022496,287.8843234,flat,P8,poke
1075,27,351.75,188.5,112520.2658,34278,28140,5.189189189,1.669565217,3.465654864,3.349588719,0.4764095269,60.44509463,277.2523891,5.989949749,1.174883721,3.525354938,3.545527339,0.981082849,88.87132466,282.028395,flat,P8,poke
5038,55,454.35,176.5,479101.2177,44716,36348,4.807692308,1.81184669,3.569737999,3.504332314,0.3971812411,54.37896394,285.57904,5.748865356,1.416353383,3.689737346,3.641646605,0.9294737185,91.84377616,295.1789877,flat,P8,poke
6582,17,478.7875,202.5,710029.8657,46351,38303,4.696782178,1.111111111,3.516574411,3.579934863,0.4164548992,52.9427922,281.3259529,5.642326733,1.092864125,3.293858503,3.237102531,0.8616262176,86.85839681,263.5086802,flat,P8,poke
1109,19,353.5625,187.5,104385.1606,33387,28285,5.611111111,1.985663082,3.636967253,3.666552316,0.3661760383,49.19489152,290.9573802,5.62993763,1.32078853,3.455529852,3.371632997,0.9317495023,95.97878903,276.4423882,flat,P8,poke
6624,30,664.8875,218.5,1423423.772,64098,53191,5.162790698,1.885714286,3.587462677,3.624429635,0.3406651538,46.48693864,286.9970142,5.374837873,1.113636364,3.226577631,3.182251616,1.065992404,97.17607044,258.1262105,flat,P8,poke
6760,18,656.5,242,1451738.835,62742,52520,5,1.834645669,3.652883965,3.741614522,0.4229537975,51.90976031,292.2307172,5.511933174,1.091,3.313756223,3.28593128,0.8913103355,93.23721903,265.1004978,flat,P8,poke
1234,89,442.975,270.5,123170.1006,36258,35438,4.735042735,2.111702128,3.638861168,3.710480312,0.2598840248,40.66001873,291.1088935,5.636144578,1.473392461,3.475533521,3.508469945,0.7471808956,76.08318725,278.0426816,flat,P8,poke
1090,30,431.05,257,118208.0481,36128,34484,4.951807229,2.144021739,3.612961662,3.593391086,0.2832604493,42.9984173,289.0369329,5.555424528,1.387155963,3.572122641,3.582818096,0.8187043548,87.53255808,285.7698113,flat,P8,poke
1122,34,395.5875,215,115464.8783,34899,31647,5.675925926,1.941558442,3.547777929,3.557539683,0.3997274992,55.43154454,283.8222344,5.384704519,1.324,3.532119086,3.573748188,0.7290691269,70.9711451,282.5695268,flat,P8,poke
1209,72,428.45,261.5,113503.3139,35094,34276,4.891666667,2.219101124,3.622456575,3.678354171,0.2785442448,43.19674125,289.796526,5.538647343,1.116052061,3.5179633,3.579345494,0.7645659004,78.40072612,281.437064,flat,P8,poke
7001,66,639.4875,294.5,1095722.911,59271,51159,5.014423077,2.340277778,3.486303823,3.475742706,0.2760510658,38.00319306,278.9043058,5.65773447,1.353488372,3.436654904,3.484679521,0.8885745147,76.80100719,274.9323923,flat,P8,rub
6996,40,687.825,307.5,1332369.184,62033,55026,5.031496063,2.289473684,3.393386414,3.319487297,0.2986624681,45.70983426,271.4709131,5.608033241,1.076751947,3.103075192,3.090574367,1.047782756,80.92465805,248.2460154,flat,P8,rub
6777,24,571.3375,237,1046364.91,52906,45707,4.479166667,2.096153846,3.48712919,3.575714286,0.2702667659,46.56524595,278.9703352,5.628970775,1.072289157,3.28532088,3.237385024,0.9195317608,79.18673804,262.8256704,flat,P8,rub
6989,87,707.925,295.5,1482456.273,65342,56634,4.567080045,1.702531646,3.510122563,3.5,0.2739621201,44.11536846,280.809805,5.758354756,1.505591054,3.373017872,3.447575782,0.8396893741,71.03360432,269.8414298,flat,P8,rub
1425,106,565.675,415,134970.1715,35602,45254,5.33,2.489749431,4.00357117,4.108908919,0.2262852293,36.01099457,320.2856936,5.495268139,1.252268603,3.306007488,3.315717941,0.9591326817,64.23665939,264.4805991,flat,P8,rub
1304,88,499.5875,323.5,125499.3847,37073,39967,5.177419355,2.368983957,3.927065109,3.978897049,0.3063336721,45.97400806,314.1652088,5.461145194,1.294323144,3.302108788,3.39299919,0.7837247816,73.7166467,264.1687031,flat,P8,rub
1226,103,505.1375,343,131880.2467,37777,40411,4.82552343,2.167567568,3.742431403,3.827574526,0.3391728626,44.76732638,299.3945122,5.41350211,1.455277281,3.380529946,3.395139199,0.9559667043,75.1718164,270.4423957,flat,P8,rub
1286,47,526.55,349.5,141109.0354,38589,42124,5.035353535,2.830561331,3.980454236,4.041473799,0.2576208572,43.67293793,318.4363389,5.419695193,1.268273717,3.169327909,3.001666667,0.954783778,72.63032349,253.5462327,flat,P8,rub
1433,33,532.45,370.5,131927.3899,37408,42596,4.36080402,2.050847458,3.18346468,3.189326058,0.2462629224,41.69086736,254.6771744,5.525123153,1.326086957,3.508795877,3.557716049,0.9648949757,68.43768426,280.7036702,flat,P8,rub
7267,83,763.7625,400.5,1314894.183,64007,61101,4.458288191,2.039408867,3.378514556,3.44119177,0.2813953615,42.47532832,270.2811645,5.438811189,1.246901811,3.660065366,3.687130813,0.8933967589,83.12087004,292.8052293,flat,P8,rub
5784,70,547.4,330,470573.4329,44869,43792,4.942857143,2.319944598,3.359871619,3.356458753,0.2847028053,44.94987886,268.7897295,5.571779141,1.468144044,3.661054547,3.810782704,0.9365351399,76.45736846,292.8843637,flat,P8,rub
7112,75,659.575,315,1205473.691,58152,52766,4.613333333,1.875,3.309139612,3.26757659,0.2761234953,42.12747861,264.731169,5.820209974,1.231949458,3.579475732,3.634742063,0.8621779108,80.77770003,286.3580585,flat,P8,rub
7475,120,763.375,530.5,734133.3513,53249,61070,4.538334707,2.029585799,3.428233376,3.494118848,0.1881178334,32.88944548,274.25867,5.236842105,1.778625954,3.392587092,3.391388648,0.878910333,59.72451028,271.4069674,flat,P8,rub
1603,42,648.0625,505,164982.9454,40676,51845,4.407232704,1.333333333,3.365801267,3.389777407,0.2228201908,34.25580111,269.2641013,5.458510638,1.748371336,3.612797527,3.776044086,0.9447830999,64.2999628,289.0238021,flat,P8,rub
