max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,subcondition,subject,gesture
6658,7,854.525,159.5,2822812.734,95819,68362,5.362962963,1.281553398,3.458982037,3.567602237,0.4753621175,57.44467338,276.718563,5.496296296,1.238554217,3.311006866,3.343554733,0.9628500384,79.35325313,264.8805492,flat,P5,no
6568,18,647.75,147,1849334.165,77137,51820,4.745454545,1.46,3.559343334,3.658392725,0.4183943082,59.50949111,284.7474667,5.948275862,1.232647815,3.345365331,3.361180014,1.107097773,101.0959286,267.6292265,flat,P5,no
6483,11,553.15,192,1109635.572,62061,44252,5.454545455,1.764705882,3.481202572,3.526647391,0.5329190623,69.87310367,278.4962058,5.941336971,1.044506259,3.219516435,3.265373912,0.922411671,86.04426904,257.5613148,flat,P5,no
6673,30,907.9375,188.5,2802626.515,94441,72635,5.239130435,1.920110193,3.617407708,3.629987683,0.4629186142,56.81169541,289.3926166,5.606281958,1.162037037,3.318562899,3.407011143,0.9760856438,91.54078194,265.4850319,flat,P5,no
6607,7,670.1875,236,1475199.749,70083,53615,5.493877551,1.301886792,3.586381743,3.602640019,0.427052486,52.49712144,286.9105394,5.41740227,1.374509804,3.257431761,3.204153605,0.8392765293,85.67517625,260.5945409,flat,P5,no
6628,28,630.625,196.5,1344412.136,62186,50450,4.765765766,1.961813842,3.514701299,3.5246139,0.2965903812,52.49407381,281.1761039,5.578745198,1.15942029,3.223796375,3.044191023,1.001802011,90.11537879,257.90371,flat,P5,no
6583,7,454.4125,111,1038711.84,54120,36353,5.428571429,1.069306931,3.454537706,3.550077519,0.6860605171,65.72605575,276.3630165,5.834914611,1,3.408210754,3.33745915,1.165903856,92.88138126,272.6568603,flat,P5,no
6303,7,467.2,110.5,1088993.251,52576,37376,5.82300885,1.303030303,3.497793891,3.525906214,0.7203277834,78.30154758,279.8235113,5.967651195,1.281710914,3.386112892,3.283882784,1.281155951,90.79275433,270.8890314,flat,P5,no
6256,0,394.575,120,592240.2981,44058,31566,5.157894737,0,3.430514445,3.55676309,0.799105434,80.26080186,274.4411556,5.972447326,0,3.421888332,3.288063521,1.290263064,104.8716222,273.7510666,flat,P5,no
6339,0,383.575,103,653805.3614,43754,30686,6,0,3.361975799,3.376858649,0.8735409009,81.38353605,268.9580639,5.991467577,0,3.319750782,3.12848063,1.532080207,109.8954184,265.5800625,flat,P5,no
6709,29,573.0125,175,1325828.645,54099,45841,5.038461538,2.29015544,3.550765644,3.589629513,0.3924355104,50.40715117,284.0612515,5.820330969,1.264808362,3.349334614,3.32220458,0.9780787884,89.40819243,267.9467692,flat,P5,pat
6682,22,597.85,152.5,1605856.256,68442,47828,5.47826087,1.216216216,3.5791297,3.611489776,0.5524065211,56.60433586,286.330376,5.696369637,1,3.242857773,3.234478968,1.064700993,79.96786907,259.4286218,flat,P5,pat
6796,30,953.375,186,3056647.63,102751,76270,5.652892562,1.953703704,3.585775999,3.583534622,0.5023882308,59.15190018,286.86208,5.382075472,1.287257019,3.304379717,3.32048645,0.9687679434,87.58673302,264.3503773,flat,P5,pat
6878,40,528.4,183,1120844.344,51103,42272,5.396825397,1.480392157,3.494559604,3.552144587,0.4448836306,52.06463616,279.5647683,5.754957507,1.289139633,3.425398879,3.41792844,0.74761255,77.38050315,274.0319103,flat,P5,pat
6741,30,1440.0625,1182.5,965791.4517,52764,115205,5.576271186,2.25,3.587630141,3.573061862,0.1129985213,20.40828664,287.0104113,4.363636364,1.697273233,2.399219047,2.129438163,0.3372890085,40.77428836,191.9375237,flat,P5,pat
6902,1000,1557.8625,1186,1228924.272,61450,124629,4.041372351,3.052033712,3.557004311,3.570744311,0.02907947539,14.69840116,284.5603449,3.750091609,1.686164229,2.329834183,2.162553832,0.2164625998,36.12397063,186.3867346,flat,P5,pat
7009,981,1693.4125,1207.5,1512997.992,72392,135473,4.142702116,3.136337707,3.551514642,3.560656707,0.02197507765,11.70070754,284.1211714,4.156042497,1.7387336,2.384648064,2.163238401,0.3294244128,40.6903936,190.7718451,flat,P5,pat
6800,980,1482.2375,1175,733537.272,50558,118579,3.93020869,3.153846154,3.549915794,3.565968623,0.02056062655,12.90900391,283.9932635,4.230657359,1.709834469,2.309059868,2.132610765,0.2460180223,36.55648063,184.7247894,flat,P5,pat
6134,0,590.975,66,1765439.873,67365,47278,5.591836735,0,3.261513233,3.557105181,1.532431671,107.063034,260.9210587,5.900489396,0,3.215873275,3.449874116,2.154731795,148.4760453,257.269862,flat,P5,pat
6156,0,566.6875,63.5,1772371.711,73995,45335,6,0,3.289781695,3.562398135,1.808380326,125.8012411,263.1825356,6,0,3.200534325,3.431672488,2.474173825,147.5097242,256.042746,flat,P5,pat
6261,0,783.475,71,2578941.62,89910,62678,6,0,3.313661823,3.559860102,1.506310326,106.572796,265.0929458,6,0,3.116083465,3.267420589,2.12860014,117.289574,249.2866772,flat,P5,pat
818,0,239.875,63.5,90774.26266,31471,19190,6,0,3.280769675,3.41393926,1.146112087,88.0413861,262.461574,6,0,3.363356997,3.314375562,1.755228678,129.9139583,269.0685598,flat,P5,pat
5929,2,600.95,92,1625333.795,67202,48076,5.175438596,1,3.38766959,3.518057344,0.6490173392,80.27992498,271.0135672,5.867123288,1.031063321,3.330833216,3.351606758,1.280734659,103.5067448,266.4666573,flat,P5,pat
6445,0,740.1125,80.5,2565856.38,95475,59209,5.444444444,0,3.411405359,3.457587052,0.8369494909,82.52923191,272.9124287,5.775808133,0,3.262297941,3.152688172,1.510615488,111.5280168,260.9838353,flat,P5,pat
4974,0,410.75,94.5,735202.0633,50077,32860,6,0,3.329361595,3.488271755,1.044635731,87.33429125,266.3489276,6,0,3.327200304,3.36235119,1.804663301,122.74377,266.1760243,flat,P5,pat
6377,1,377.2875,86.5,704093.372,44077,30183,5.4,1.435897436,3.526125922,3.587420331,0.6699265493,77.24082223,282.0900737,5.747881356,1,3.294261899,3.165834432,1.39096813,111.0663628,263.5409519,flat,P5,pat
6485,6,716.175,133.5,2430227.615,74819,57294,6,1.613114754,3.678254701,3.675378156,0.6938939546,79.74816072,294.2603761,5.882183908,1.096618357,3.425916634,3.495474667,1.343048217,114.7830371,274.0733307,flat,P5,pat
6510,10,783.4875,141.5,2303922.506,83325,62679,5.023255814,1,3.484549846,3.615515772,0.5262043035,69.19264491,278.7639877,5.936507937,1.145958987,3.483978389,3.492664656,1.270367438,103.0724781,278.7182712,flat,P5,pat
6592,0,844.4,157,2869485.914,103216,67552,5.036764706,0,3.545302041,3.590270169,0.6480763442,67.47737015,283.6241633,5.346153846,0,3.446765878,3.600544531,1.232707217,107.1310632,275.7412703,flat,P5,pat
5711,2,337.1625,78.5,473375.1758,43048,26973,6,1.815217391,3.633632749,3.644821591,0.800598408,90.04656336,290.6906199,5.828462516,1.077669903,3.519608277,3.59137308,1.207409812,91.52046218,281.5686622,flat,P5,pat
6846,971,1464.7125,1183.5,789789.9036,52581,117177,4.123842593,3.16499666,3.588552689,3.585692066,0.01860662282,11.02616472,287.0842151,4.184436444,1.693490518,2.359042277,2.181819576,0.2727802313,40.8339755,188.7233821,flat,P5,pat
6801,914,1669.575,1161.5,1753119.944,78114,133566,3.95212766,3.204508857,3.538901713,3.541348154,0.01414506787,10.49686877,283.1121371,4.273571429,1.655765921,2.400177142,2.114083509,0.3915842781,43.07712156,192.0141714,flat,P5,pat
6711,969,1609.2625,1167,1511420.88,67252,128741,4.190144617,3.058531198,3.554403301,3.559861813,0.03333430512,14.15961881,284.3522641,4.242712294,1.731201895,2.392847526,2.149438208,0.296995811,39.30362461,191.4278021,flat,P5,pat
6959,981,1526.375,1166.5,1144980.44,51073,122110,4.279976717,3.010093727,3.555945084,3.572963794,0.02847242453,13.82808897,284.4756067,4.278839178,1.619777895,2.330115578,2.138647197,0.2748935511,37.79756749,186.4092462,flat,P5,pat
6413,0,505.8625,94,1418875.006,63377,40469,6,0,3.498309573,3.632388734,0.9690000946,77.49001497,279.8647658,5.829479769,0,3.237004165,3.311081185,1.403233648,107.9445982,258.9603332,flat,P5,pat
6185,0,623.975,100.5,1806462.43,76664,49918,6,0,3.477414047,3.632300482,1.039113865,81.13413554,278.1931237,6,0,3.33736066,3.268894268,1.483390392,109.3821299,266.9888528,flat,P5,pat
6492,4,704,99.5,2365868.051,89836,56320,6,1.2,3.551461843,3.598638257,0.9159117852,80.72402909,284.1169474,5.732937685,1.212543554,3.373514023,3.479813959,1.298523826,97.33197351,269.8811218,flat,P5,pat
6283,9,496.1625,103.5,1158256.163,57136,39693,5.756097561,1.345454545,3.580675379,3.625863039,0.8658485072,83.75128887,286.4540303,5.960926194,1.033244681,3.233363876,3.195238095,1.281497864,99.37260315,258.6691101,flat,P5,pat
6748,143,1597.55,1177.5,1488742.58,65823,127804,4.098388953,2.307692308,3.563957785,3.591823172,0.03895538712,13.8471946,285.1166228,4.825174825,1.654147982,2.383173308,2.134061407,0.3891727728,46.00726556,190.6538647,flat,P5,pat
