"max","min","mean","median","var","totalvar","auc","Xmax","Xmin","Xmean","Xmedian","Xvar","Xtotalvar","Xauc","Ymax","Ymin","Ymean","Ymedian","Yvar","Ytotalvar","Yauc","subcondition","glovecondition","subject","filecount","gesture"
"871","414","613.9125","611.5","5917.11882911392","6889","49113","4.87295825771325","4.04578754578755","4.50621441711292","4.49455852329289","0.0308638664468123","15.4912440878276","360.497153369034","3.68188976377953","2.93346774193548","3.3696470321454","3.37458211215975","0.0200292767279482","12.3801620116795","269.571762571632","flat","notgloved","DM","1","no"
"761","408","590.0875","592","5601.70110759494","7312","47207","5.12925170068027","3.97931034482759","4.42853707617589","4.39321578451525","0.0492932306158304","20.7412425849009","354.282966094072","3.75801282051282","3.13970588235294","3.39029996560407","3.37718097081514","0.0251214435510842","14.6410042833052","271.223997248326","flat","notgloved","DM","1","no"
"765","367","536.4875","535","5755.49351265823","6829","42919","4.6866485013624","3.65064102564103","4.26530352076965","4.24929778760219","0.0505410033766654","16.672151063751","341.224281661572","3.81797235023041","2.88641425389755","3.3645199276717","3.37316285998014","0.0361913460898508","16.1632148680236","269.161594213736","flat","notgloved","DM","1","no"
"724","309","533.275","531.5","7204.0246835443","7939","42662","5.02424242424242","3.70328102710414","4.26020348730385","4.2415804232484","0.0513012891416151","18.9136405301524","340.816278984308","3.80884955752212","2.81085814360771","3.36083144482556","3.40256977924965","0.0450627781440357","20.332038858914","268.866515586045","flat","notgloved","DM","1","no"
"301","53","166.575","163.5","3345.94367088608","4634","13326","5.27777777777778","2.58371040723982","3.63428684688677","3.551393728223","0.337956742532626","46.3142109875657","290.742947750942","4.94444444444444","2.52564102564103","3.59128189158291","3.52570093457944","0.314478343710574","34.2344111442138","287.302551326633","flat","notgloved","DM","1","no"
"312","27","171.7","165","4054.84556962025","4732","13736","4.5296442687747","2.31981981981982","3.44413189159082","3.43773946360153","0.365948584277222","39.3949565060644","275.530551327265","4.88938053097345","2.25287356321839","3.42924586194646","3.38933151962689","0.287570092068713","44.869332492493","274.339668955717","flat","notgloved","DM","1","no"
"313","43","160.2375","153","4022.43655063291","5362","12819","5.33333333333333","2.48837209302326","3.600689181794","3.60474358974359","0.371114891714887","43.2511120642324","288.05513454352","5.25333333333333","1.3695652173913","3.38813627143685","3.30275209724362","0.565400344871196","59.5303778689997","271.050901714948","flat","notgloved","DM","1","no"
"463","41","193.9375","182","6836.43908227848","4325","15515","5.84615384615385","2.5377358490566","3.76232815494525","3.68028198216877","0.60467469220618","45.4041576210251","300.98625239562","5.15789473684211","2.33139534883721","3.53541636492853","3.53335515786411","0.384885952224477","39.2090957540913","282.833309194283","flat","notgloved","DM","1","no"
"448","110","264.15","255.5","5099.06582278481","5192","21132","4.44390243902439","2.23333333333333","3.49021229566034","3.53000460193281","0.157854976470289","29.1676319188393","279.216983652827","4.79090909090909","2.84251968503937","3.6110155202927","3.61252364324167","0.181142210027194","36.534922287175","288.881241623416","flat","notgloved","DM","2","no"
"606","83","307.1125","292.5","11052.2023734177","4781","24569","4.49421965317919","2.47528517110266","3.59620519464208","3.55148097964655","0.187300869641167","27.7212423460112","287.696415571366","4.58227848101266","2.23611111111111","3.51199236110471","3.51302419933937","0.286883645034881","28.7394487869916","280.959388888377","flat","notgloved","DM","2","no"
"536","95","304.525","310","10216.8348101266","5318","24362","4.38947368421053","2.10855263157895","3.44440751012344","3.51022858240492","0.272955558076035","36.3860583968124","275.552600809875","4.8075117370892","2.67669172932331","3.62546449904408","3.67262211238115","0.159441743308213","31.4940880833224","290.037159923526","flat","notgloved","DM","2","no"
"631","65","339.9375","345","12226.2112341772","6544","27195","4.95824175824176","2.03767123287671","3.77640918394014","3.78913659272339","0.341450692226757","23.8111584621516","302.112734715211","4.86635944700461","2.19181585677749","3.59104323775615","3.60729340650601","0.432945410618381","25.5908499338673","287.283459020492","flat","notgloved","DM","2","no"
