maxXshear,minXshear,meanXshear,medianXshear,varXshear,totalvarXshear,aucXshear,XmaxXshear,XminXshear,XmeanXshear,XmedianXshear,XvarXshear,XtotalvarXshear,XaucXshear,YmaxXshear,YminXshear,YmeanXshear,YmedianXshear,YvarXshear,YtotalvarXshear,YaucXshear,maxYshear,minYshear,meanYshear,medianYshear,varYshear,totalvarYshear,aucYshear,XmaxYshear,XminYshear,XmeanYshear,XmedianYshear,XvarYshear,XtotalvarYshear,XaucYshear,YmaxYshear,YminYshear,YmeanYshear,YmedianYshear,YvarYshear,YtotalvarYshear,YaucYshear,subcondition,glovecondition,subject,filecount,gesture
4608,4604,4605.2125,4605,1.207436709,25,368417,3.500760043,3.498479583,3.499667456,3.499782798,3.36E-07,0.009447197814,279.9733965,3.501520417,3.499239957,3.500517103,3.50054277,3.51E-07,0.009447338905,280.0413682,4608,4604,4605.2125,4605,1.207436709,25,368417,3.500760043,3.498479583,3.499667456,3.499782798,3.36E-07,0.009447197814,279.9733965,3.501520417,3.499239957,3.500517103,3.50054277,3.51E-07,0.009447338905,280.0413682,flat,notgloved,LC,1,no
4608,4604,4605.875,4606,1.047468354,17,368470,3.500760043,3.499348676,3.499981008,3.49989147,2.22E-07,0.005970685556,279.9984806,3.501085541,3.499239957,3.500369074,3.500542652,3.54E-07,0.005536610345,280.029526,4608,4604,4605.875,4606,1.047468354,17,368470,3.500760043,3.499348676,3.499981008,3.49989147,2.22E-07,0.005970685556,279.9984806,3.501085541,3.499239957,3.500369074,3.500542652,3.54E-07,0.005536610345,280.029526,flat,notgloved,LC,1,no
4607,4603,4604.925,4605,1.133544304,17,368394,3.500325874,3.499239626,3.499875133,3.5,5.26E-08,0.007276069644,279.9900106,3.50086881,3.499674126,3.500423469,3.500543124,1.14E-07,0.006842089545,280.0338775,4607,4603,4604.925,4605,1.133544304,17,368394,3.500325874,3.499239626,3.499875133,3.5,5.26E-08,0.007276069644,279.9900106,3.50086881,3.499674126,3.500423469,3.500543124,1.14E-07,0.006842089545,280.0338775,flat,notgloved,LC,2,no
4607,4603,4605.4375,4605,1.084651899,16,368435,3.500325733,3.499131568,3.499800523,3.499674409,6.52E-08,0.005645612673,279.9840418,3.501194354,3.499131568,3.500221262,3.500108578,3.98E-07,0.008034697932,280.0177009,4607,4603,4605.4375,4605,1.084651899,16,368435,3.500325733,3.499131568,3.499800523,3.499674409,6.52E-08,0.005645612673,279.9840418,3.501194354,3.499131568,3.500221262,3.500108578,3.98E-07,0.008034697932,280.0177009,flat,notgloved,LC,2,no
4607,4604,4605.75,4606,0.5949367089,14,368460,3.500868432,3.499565784,3.500287695,3.500162843,1.15E-07,0.004559506309,280.0230156,3.501194354,3.500325591,3.500675804,3.500651324,5.43E-08,0.004344189519,280.0540644,4607,4604,4605.75,4606,0.5949367089,14,368460,3.500868432,3.499565784,3.500287695,3.500162843,1.15E-07,0.004559506309,280.0230156,3.501194354,3.500325591,3.500675804,3.500651324,5.43E-08,0.004344189519,280.0540644,flat,notgloved,LC,2,no
4607,4603,4604.8625,4605,0.9555379747,17,368389,3.50086881,3.499674126,3.500519827,3.500542888,6.83E-08,0.004452296314,280.0415862,3.501954822,3.499674267,3.500753318,3.500868432,4.86E-07,0.008579944307,280.0602654,4607,4603,4604.8625,4605,0.9555379747,17,368389,3.50086881,3.499674126,3.500519827,3.500542888,6.83E-08,0.004452296314,280.0415862,3.501954822,3.499674267,3.500753318,3.500868432,4.86E-07,0.008579944307,280.0602654,flat,notgloved,LC,2,no
4598,4590,4594.75,4595,3.025316456,36,367580,3.4996737,3.4978223,3.499004203,3.4990752,1.54E-07,0.009141507828,279.9203363,3.498586034,3.49640914,3.497086347,3.496953873,2.23E-07,0.01110849066,279.7669078,4598,4590,4594.75,4595,3.025316456,36,367580,3.4996737,3.4978223,3.499004203,3.4990752,1.54E-07,0.009141507828,279.9203363,3.498586034,3.49640914,3.497086347,3.496953873,2.23E-07,0.01110849066,279.7669078,flat,notgloved,LC,1,pat
4599,4589,4594.7125,4595,7.498575949,44,367577,3.500326869,3.498368501,3.499389334,3.499347116,2.75E-07,0.01806439638,279.9511467,3.498365657,3.495975636,3.497495912,3.497713912,3.25E-07,0.01632175429,279.7996729,4599,4589,4594.7125,4595,7.498575949,44,367577,3.500326869,3.498368501,3.499389334,3.499347116,2.75E-07,0.01806439638,279.9511467,3.498365657,3.495975636,3.497495912,3.497713912,3.25E-07,0.01632175429,279.7996729,flat,notgloved,LC,1,pat
4602,4592,4595.4875,4595,5.923892405,46,367639,3.50054407,3.499021526,3.49982454,3.49989121,1.01E-07,0.01196650485,279.9859632,3.498696219,3.496515679,3.497330002,3.497170222,3.18E-07,0.01263074904,279.7864002,4602,4592,4595.4875,4595,5.923892405,46,367639,3.50054407,3.499021526,3.49982454,3.49989121,1.01E-07,0.01196650485,279.9859632,3.498696219,3.496515679,3.497330002,3.497170222,3.18E-07,0.01263074904,279.7864002,flat,notgloved,LC,1,pat
4599,4588,4594.5375,4595,5.1125,54,367563,3.50108885,3.499129299,3.500219117,3.500217675,2.31E-07,0.01523636991,280.0175294,3.499564839,3.495754409,3.497484863,3.49749619,6.71E-07,0.0187241923,279.798789,4599,4588,4594.5375,4595,5.1125,54,367563,3.50108885,3.499129299,3.500219117,3.500217675,2.31E-07,0.01523636991,280.0175294,3.499564839,3.495754409,3.497484863,3.49749619,6.71E-07,0.0187241923,279.798789,flat,notgloved,LC,1,pat
