maxXshear,minXshear,meanXshear,medianXshear,varXshear,totalvarXshear,aucXshear,XmaxXshear,XminXshear,XmeanXshear,XmedianXshear,XvarXshear,XtotalvarXshear,XaucXshear,YmaxXshear,YminXshear,YmeanXshear,YmedianXshear,YvarXshear,YtotalvarXshear,YaucXshear,maxPress,minPress,meanPress,medianPress,varPress,totalvarPress,aucPress,XmaxPress,XminPress,XmeanPress,XmedianPress,XvarPress,XtotalvarPress,XaucPress,YmaxPress,YminPress,YmeanPress,YmedianPress,YvarPress,YtotalvarPress,YaucPress,maxYshear,minYshear,meanYshear,medianYshear,varYshear,totalvarYshear,aucYshear,XmaxYshear,XminYshear,XmeanYshear,XmedianYshear,XvarYshear,XtotalvarYshear,XaucYshear,YmaxYshear,YminYshear,YmeanYshear,YmedianYshear,YvarYshear,YtotalvarYshear,YaucYshear,subcondition,glovecondition,subject,filecount,gesture
4608,4604,4605.2125,4605,1.207436709,25,368417,3.500760043,3.498479583,3.499667456,3.499782798,3.36E-07,0.009447197814,279.9733965,3.501520417,3.499239957,3.500517103,3.50054277,3.51E-07,0.009447338905,280.0413682,33,5,17.225,16,62.07531646,83,1378,3.041666667,1.571428571,2.547403665,2.65625,0.1818224465,6.558675288,203.7922932,4,2.533333333,3.190248532,3.089285714,0.1084323587,7.968898701,255.2198825,4608,4604,4605.2125,4605,1.207436709,25,368417,3.500760043,3.498479583,3.499667456,3.499782798,3.36E-07,0.009447197814,279.9733965,3.501520417,3.499239957,3.500517103,3.50054277,3.51E-07,0.009447338905,280.0413682,flat,notgloved,LC,1,no
4608,4604,4605.875,4606,1.047468354,17,368470,3.500760043,3.499348676,3.499981008,3.49989147,2.22E-07,0.005970685556,279.9984806,3.501085541,3.499239957,3.500369074,3.500542652,3.54E-07,0.005536610345,280.029526,16,0,7.9,10.5,38.26835443,55,632,4,0,2.191555424,2.845238095,1.64384437,18.61778222,175.3244339,6,0,2.347043391,2.759615385,2.180552495,23.47992008,187.7634713,4608,4604,4605.875,4606,1.047468354,17,368470,3.500760043,3.499348676,3.499981008,3.49989147,2.22E-07,0.005970685556,279.9984806,3.501085541,3.499239957,3.500369074,3.500542652,3.54E-07,0.005536610345,280.029526,flat,notgloved,LC,1,no
4607,4603,4604.925,4605,1.133544304,17,368394,3.500325874,3.499239626,3.499875133,3.5,5.26E-08,0.007276069644,279.9900106,3.50086881,3.499674126,3.500423469,3.500543124,1.14E-07,0.006842089545,280.0338775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4607,4603,4604.925,4605,1.133544304,17,368394,3.500325874,3.499239626,3.499875133,3.5,5.26E-08,0.007276069644,279.9900106,3.50086881,3.499674126,3.500423469,3.500543124,1.14E-07,0.006842089545,280.0338775,flat,notgloved,LC,2,no
4607,4603,4605.4375,4605,1.084651899,16,368435,3.500325733,3.499131568,3.499800523,3.499674409,6.52E-08,0.005645612673,279.9840418,3.501194354,3.499131568,3.500221262,3.500108578,3.98E-07,0.008034697932,280.0177009,2,0,0.15,0,0.2050632911,3,12,6,0,0.59375,0,2.829707278,6,47.5,1,0,0.1125,0,0.1011075949,1,9,4607,4603,4605.4375,4605,1.084651899,16,368435,3.500325733,3.499131568,3.499800523,3.499674409,6.52E-08,0.005645612673,279.9840418,3.501194354,3.499131568,3.500221262,3.500108578,3.98E-07,0.008034697932,280.0177009,flat,notgloved,LC,2,no
4607,4604,4605.75,4606,0.5949367089,14,368460,3.500868432,3.499565784,3.500287695,3.500162843,1.15E-07,0.004559506309,280.0230156,3.501194354,3.500325591,3.500675804,3.500651324,5.43E-08,0.004344189519,280.0540644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4607,4604,4605.75,4606,0.5949367089,14,368460,3.500868432,3.499565784,3.500287695,3.500162843,1.15E-07,0.004559506309,280.0230156,3.501194354,3.500325591,3.500675804,3.500651324,5.43E-08,0.004344189519,280.0540644,flat,notgloved,LC,2,no
4607,4603,4604.8625,4605,0.9555379747,17,368389,3.50086881,3.499674126,3.500519827,3.500542888,6.83E-08,0.004452296314,280.0415862,3.501954822,3.499674267,3.500753318,3.500868432,4.86E-07,0.008579944307,280.0602654,1,0,0.225,0,0.1765822785,4,18,6,0,1.35,0,6.356962025,24,108,1,0,0.225,0,0.1765822785,4,18,4607,4603,4604.8625,4605,0.9555379747,17,368389,3.50086881,3.499674126,3.500519827,3.500542888,6.83E-08,0.004452296314,280.0415862,3.501954822,3.499674267,3.500753318,3.500868432,4.86E-07,0.008579944307,280.0602654,flat,notgloved,LC,2,no
4598,4590,4594.75,4595,3.025316456,36,367580,3.4996737,3.4978223,3.499004203,3.4990752,1.54E-07,0.009141507828,279.9203363,3.498586034,3.49640914,3.497086347,3.496953873,2.23E-07,0.01110849066,279.7669078,68,46,56.4875,56,30.5568038,110,4519,4.06122449,3.754098361,3.905901522,3.901194853,0.005994972948,1.999564776,312.4721217,4.8125,4.064516129,4.566899442,4.631578947,0.02672953133,3.249971403,365.3519554,4598,4590,4594.75,4595,3.025316456,36,367580,3.4996737,3.4978223,3.499004203,3.4990752,1.54E-07,0.009141507828,279.9203363,3.498586034,3.49640914,3.497086347,3.496953873,2.23E-07,0.01110849066,279.7669078,flat,notgloved,LC,1,pat
4599,4589,4594.7125,4595,7.498575949,44,367577,3.500326869,3.498368501,3.499389334,3.499347116,2.75E-07,0.01806439638,279.9511467,3.498365657,3.495975636,3.497495912,3.497713912,3.25E-07,0.01632175429,279.7996729,60,31,44.375,44,44.84493671,83,3550,3.909090909,3.666666667,3.794317007,3.793496985,0.004453589687,1.760673254,303.5453606,5.076923077,4.233333333,4.752724194,4.774305556,0.04356542695,3.338639369,380.2179355,4599,4589,4594.7125,4595,7.498575949,44,367577,3.500326869,3.498368501,3.499389334,3.499347116,2.75E-07,0.01806439638,279.9511467,3.498365657,3.495975636,3.497495912,3.497713912,3.25E-07,0.01632175429,279.7996729,flat,notgloved,LC,1,pat
4602,4592,4595.4875,4595,5.923892405,46,367639,3.50054407,3.499021526,3.49982454,3.49989121,1.01E-07,0.01196650485,279.9859632,3.498696219,3.496515679,3.497330002,3.497170222,3.18E-07,0.01263074904,279.7864002,63,29,45.5125,48,82.65806962,104,3641,4.193548387,3.6875,3.901210459,3.871462264,0.01698936351,2.408726853,312.0968367,5.117647059,4.285714286,4.792877376,4.788461538,0.02817188484,3.08800454,383.4301901,4602,4592,4595.4875,4595,5.923892405,46,367639,3.50054407,3.499021526,3.49982454,3.49989121,1.01E-07,0.01196650485,279.9859632,3.498696219,3.496515679,3.497330002,3.497170222,3.18E-07,0.01263074904,279.7864002,flat,notgloved,LC,1,pat
4599,4588,4594.5375,4595,5.1125,54,367563,3.50108885,3.499129299,3.500219117,3.500217675,2.31E-07,0.01523636991,280.0175294,3.499564839,3.495754409,3.497484863,3.49749619,6.71E-07,0.0187241923,279.798789,73,40,54.225,52.5,111.1132911,116,4338,4.244897959,3.893617021,4.068645564,4.064703154,0.007661026598,2.038101485,325.4916451,4.575,4.082191781,4.285708437,4.279953917,0.01628494021,2.823403885,342.8566749,4599,4588,4594.5375,4595,5.1125,54,367563,3.50108885,3.499129299,3.500219117,3.500217675,2.31E-07,0.01523636991,280.0175294,3.499564839,3.495754409,3.497484863,3.49749619,6.71E-07,0.0187241923,279.798789,flat,notgloved,LC,1,pat
