max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,subject,filecount,gesture
5009,152,555.65,308.5,374305.7241,45589,44452,4.651090343,2.027210884,3.364376108,3.361912654,0.212459966,41.07538859,269.1500886,5.566214807,1.743232792,3.54676007,3.462988951,0.5879617613,67.20074737,283.7408056,P7,7,freeplay
1297,101,491.15,334,112559.8759,35377,39292,4.392895587,2.035087719,3.47218359,3.486841919,0.2302444118,41.83665162,277.7746872,5.630640084,1.293859649,3.63291078,3.632541653,0.6892439154,75.57357701,290.6328624,P7,7,freeplay
7268,84,714.925,372,1252946.349,63068,57194,5.015037594,2,3.483441789,3.56103137,0.3546649325,42.94092763,278.6753431,5.448704663,1.474658869,3.640895609,3.604832714,0.653400469,68.60524407,291.2716487,P7,7,freeplay
5697,20,514.25,136.5,928115.8608,60542,41140,5.455284553,2.075,3.480308851,3.487440284,0.4574725871,57.30868176,278.4247081,5.848708487,1.091847265,3.615006839,3.645224719,1.0541965,93.23814845,289.2005471,P7,1,no
976,3,315.025,141.5,111752.6576,35067,25202,5.069444444,1.333333333,3.574445661,3.651999447,0.5484254704,63.31893775,285.9556529,5.558823529,1,3.551663869,3.536134454,1.048793591,89.97582776,284.1331095,P7,1,no
6104,0,410.175,112.5,777265.3614,55025,32814,5.594936709,0,3.447680536,3.466313269,0.877853406,74.88906781,275.8144429,5.881913303,0,3.607751321,3.688748794,1.393416589,89.13823437,288.6201057,P7,1,no
6830,6,430.7875,106,894647.5112,47631,34463,6,1.669270833,3.589106866,3.54714744,0.6041013672,70.61920727,287.1285493,5.828722003,1.03673938,3.431812009,3.428571429,1.133411891,102.0747176,274.5449607,P7,1,no
1059,54,349.775,150,114782.8095,35522,27982,4.793727382,1.256198347,3.474821183,3.543396686,0.3878077676,55.08784169,277.9856946,5.858695652,1.212578616,3.584789968,3.565777778,0.9267656274,85.75560627,286.7831975,P7,2,no
1402,17,349.9875,169,123095.734,35479,27999,5.444897959,1.411764706,3.517075328,3.532635983,0.5778476544,64.89201529,281.3660262,5.696103896,1.212003872,3.648307991,3.688995215,1.028023119,93.40555313,291.8646393,P7,2,no
3625,19,375.675,171,244843.3361,38277,30054,4.850678733,1.294117647,3.4320634,3.424662272,0.5629377744,64.38951852,274.565072,6,1.261569416,3.706790958,3.771981254,1.155063622,102.1872074,296.5432767,P7,2,no
984,27,336.6125,148.5,110739.7847,34867,26929,4.894438138,1.962962963,3.421678648,3.364928552,0.396989548,50.36278543,273.7342919,5.811627907,1.260127932,3.589245933,3.596530821,1.145361958,101.703864,287.1396747,P7,2,no
