"max","min","mean","median","var","totalvar","auc","Xmax","Xmin","Xmean","Xmedian","Xvar","Xtotalvar","Xauc","Ymax","Ymin","Ymean","Ymedian","Yvar","Ytotalvar","Yauc","subcondition","glovecondition","subject","filecount","gesture"
"7172","101","1135.55","417","2539310.22531646","97221","90844","5.63366336633663","2.34083601286174","4.07952232260961","4.09576381623626","0.310600312823219","47.4222498322099","326.361785808769","5.451536643026","1.24752475247525","2.96395680939384","2.74405631993288","0.86641632379412","86.700045370725","237.116544751507","flat","1","-1","constant","7172"
"7418","166","1059.4625","380","2688995.21376582","97831","84757","5.17159763313609","2.94470924690181","4.03064250113831","4.06945577978929","0.221640898254806","39.4280763452497","322.451400091065","5.14116251482799","1.40960163432074","2.96624700249428","2.75810543515652","0.833565781101654","74.1618206338427","237.299760199543","flat","1","-1","constant","7418"
"7384","142","1243.225","439","3301487.29050633","133653","99458","5.33783783783784","2.98160535117057","4.11046269420763","4.08139600656146","0.213573804031392","39.4815905164069","328.83701553661","5.04357394366197","1.29214559386973","2.98345931214139","2.86454506558078","0.731341421774159","76.8645707003138","238.676744971311","flat","1","-1","constant","7384"
"7454","134","1299.5125","442","3397034.93655063","113276","103961","5.21935483870968","2.69989165763814","4.03362277097989","4.0563922356091","0.194003439481462","37.8277697029843","322.689821678392","4.79258160237389","1.45739130434783","2.99322434135096","2.85891021112942","0.644128654735695","70.9418853629399","239.457947308077","flat","1","-1","constant","7454"
"7101","41","715.4875","188.5","2044625.06313291","72052","57239","5.5609756097561","1.88172043010753","3.95027994696605","3.97993774759479","0.384620533879723","54.8883569507917","316.022395757284","5.47277556440903","1.08705357142857","3.15817004646273","3.10109078114004","0.741161396440585","78.1431181242059","252.653603717018","flat","1","-1","constant","7101"
"7043","57","1133.1125","262.5","3903346.5568038","105218","90649","4.95876288659794","2.29987452948557","3.85167557446094","3.84994314749671","0.320220674411078","48.9094145843025","308.134045956875","5.73466833541927","1.14712153518124","3.21971194462585","3.21510673234811","0.998706000705511","81.6998903102564","257.576955570068","flat","1","-1","constant","7043"
"7164","37","1114.2375","258.5","3588805.17072785","103852","89139","5.14285714285714","2.0377358490566","3.85056268905377","3.8885077186964","0.365430113659234","53.2233016355536","308.045015124302","5.63356428021555","1.16836262719704","3.20780520602742","3.13286301385857","1.13810857146079","98.6067973158963","256.624416482194","flat","1","-1","constant","7164"
"7086","31","485.95","162.5","772754.503797468","52454","38876","5.35087719298246","1.97512437810945","3.88257292934772","3.88150738150738","0.323040044080428","50.5295020103449","310.605834347818","5.31386861313869","1.12124582869855","3.20483796205906","3.22039849746856","0.999270205451318","89.1217673513692","256.387036964725","flat","1","-1","constant","7086"
"6041","101","568.4125","335","512587.992246835","45961","45473","4.95614035087719","2.51418842224745","4.03675118683462","4.09814169570267","0.212282839414606","42.0136357747171","322.94009494677","5.60453400503778","1.19750283768445","3.23489693514891","3.14218106995885","0.620666067962848","73.3104579396952","258.791754811913","flat","1","-1","constant","6041"
"4958","74","587.4625","290","505509.1125","51935","46997","5.27586206896552","2.25634517766497","3.9861345691185","4.05091673099647","0.330592820153052","49.3168722416745","318.89076552948","5.29686697483308","1.29545454545455","3.22449367531297","3.12790967263285","0.663718931164001","72.4202323994549","257.959494025038","flat","1","-1","constant","4958"
