max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,subject,filecount,gesture
6912,4,1090.8125,172.5,3763029.42,117547,87265,6,1.760869565,3.452419859,3.515225208,0.5216010407,60.30727951,276.1935887,5.765508685,1.197142857,3.637963926,3.563051702,1.054070883,87.81688839,291.0371141,1,6,no
6848,19,714,172,1943554.633,79749,57120,5.555555556,1.947368421,3.366678141,3.31862008,0.3659227698,50.24299358,269.3342513,5.764262648,1.37527115,3.492876699,3.522757801,1.021679606,90.03631782,279.430136,1,6,no
6801,40,649.425,164,1694003.336,77132,51954,5.382978723,1.793650794,3.3202035,3.338262765,0.4009320817,54.60062826,265.61628,5.883464567,1.3125,3.714586925,3.835098039,1.040056288,92.04382494,297.166954,1,6,no
6835,7,859.6,190.5,2906827.559,90317,68768,5.131578947,1.421641791,3.377593439,3.504103982,0.6138829825,63.75631882,270.2074751,5.792875989,1.089459699,3.642951404,3.622241087,1.111307975,99.79195225,291.4361123,1,6,no
5546,0,444.75,78,957329.962,57341,35580,6,0,3.369067158,3.447074486,1.145313582,92.87842576,269.5253726,5.930313589,0,3.30662868,3.280814215,1.999574082,131.723172,264.5302944,1,7,no
6535,0,486.6375,78.5,1109277.956,56856,38931,6,0,3.367326095,3.476863398,1.114276347,90.07063773,269.3860876,6,0,3.339918255,3.41779487,1.876135717,123.8063198,267.1934604,1,7,no
5462,0,451.9875,43,1056565.228,58643,36159,6,0,3.495245353,3.545218295,1.428287448,105.7101527,279.6196283,6,0,3.277112527,3.438423645,1.716789869,128.5346288,262.1690021,1,7,no
5304,0,413.0375,61.5,783681.8087,51372,33043,6,0,3.212168909,3.230966104,1.773589253,126.4252704,256.9735127,6,0,3.225260846,3.338235294,2.312917391,136.4010187,258.0208677,1,7,no
6664,2,757.375,98.5,2386773.174,87019,60590,5.711111111,1,3.389046446,3.541298308,0.6856834029,73.36686814,271.1237157,6,1.034567901,3.502380492,3.428347578,1.467346876,115.296006,280.1904394,1,8,no
6575,5,747.7,121,1910580.567,87898,59816,6,1,3.579882784,3.58933578,0.9618197758,83.8890291,286.3906228,5.91684435,1,3.411412711,3.384712592,1.695301839,129.510442,272.9130169,1,8,no
6472,8,1127.5375,108.5,3724150.328,134195,90203,5.967479675,1.5,3.538537384,3.560207792,0.7109103715,75.39092178,283.0829907,5.869918699,1.156716418,3.300717954,3.284090909,1.486787959,113.4121201,264.0574363,1,8,no
6483,0,773.3,106,2567457.554,93931,61864,5.756756757,0,3.429380381,3.557102871,0.8351900659,79.67144992,274.3504305,5.744939271,0,3.272429429,3.340031397,1.777015859,103.7569523,261.7943544,1,8,no
