max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,maxSX,minSX,meanSX,medianSX,varSX,totalvarSX,aucSX,XmaxSX,XminSX,XmeanSX,XmedianSX,XvarSX,XtotalvarSX,XaucSX,YmaxSX,YminSX,YmeanSX,YmedianSX,YvarSX,YtotalvarSX,YaucSX,maxSY,minSY,meanSY,medianSY,varSY,totalvarSY,aucSY,XmaxSY,XminSY,XmeanSY,XmedianSY,XvarSY,XtotalvarSY,XaucSY,YmaxSY,YminSY,YmeanSY,YmedianSY,YvarSY,YtotalvarSY,YaucSY,subcondition,subject,filecount,gesture
657,0,349.3625,365,18900.41123,9385,27949,6,0,3.372044014,3.401247959,0.4120540437,43.67502412,269.7635211,4.770642202,0,3.215511048,3.40271344,0.5352193366,50.11012155,257.2408838,4709,4474,4585.125,4581.5,1997.756329,3596,366810,3.536665212,3.460008838,3.499030903,3.498648768,0.0001981136051,0.9730951223,279.9224722,3.526281635,3.471718957,3.496593001,3.497648984,0.0001515683951,1.140661711,279.7274401,4664,4519,4586.55,4583,1216.908861,3340,366924,3.52528584,3.451418745,3.501998787,3.502879321,0.0001700053139,1.178296932,280.159903,3.530918728,3.471927162,3.504119298,3.503716889,0.0001403814048,0.9763467726,280.3295438,flat,P2,10,freeplay
505,0,279.625,278.5,14489.17405,9058,22370,5.555555556,0,3.506299987,3.475171625,0.4440542671,48.30788989,280.503999,5.555555556,0,3.345701737,3.362816626,0.52442465,47.64953452,267.6561389,4693,4493,4580.8,4576.5,1665.858228,3053,366464,3.544836659,3.464404524,3.498367511,3.499341045,0.000262904052,1.165136873,279.8694009,3.531462399,3.47320094,3.500075005,3.498407374,0.0001776589884,0.9633211414,280.0060004,4667,4480,4586.4,4590,1221.053165,3306,366912,3.537109375,3.471379011,3.502941321,3.502554787,0.0001718213091,0.9686835227,280.2353057,3.537195523,3.468526786,3.501291402,3.503721825,0.0001726230791,1.089581245,280.1033122,flat,P2,10,freeplay
559,0,261.675,269.5,12315.86772,7818,20934,6,0,3.419367064,3.446201188,0.5542413615,52.13803027,273.5493651,5.074285714,0,3.070825443,3.206262261,0.5896569905,50.70746674,245.6660354,4671,4501,4591.0625,4591,1284.945411,3218,367285,3.529232112,3.473649683,3.501156692,3.501526171,0.0001524049866,1.048673985,280.0925354,3.52873061,3.464200735,3.498093181,3.497239888,0.0001819847593,1.002382063,279.8474545,4676,4514,4586.125,4587,1130.996835,3106,366890,3.52617801,3.470217391,3.504113273,3.50328138,0.0001082858081,0.9091709447,280.3290618,3.531312237,3.470006592,3.498224323,3.497612831,0.000137328823,0.9937993613,279.8579458,flat,P2,10,freeplay
493,5,282.2375,297,8370.841614,7428,22579,4.528610354,2,3.506957746,3.51529704,0.1432439342,31.47054155,280.5566197,5.729166667,1.933098592,3.378699217,3.362973932,0.2709777554,39.25801523,270.2959374,4671,4506,4581.125,4590.5,1518.212025,3262,366490,3.528455285,3.477920383,3.500771743,3.500218768,0.0001449345609,0.9559183899,280.0617394,3.532603939,3.458889367,3.500676654,3.500494958,0.0001759329353,1.274525184,280.0541324,4671,4503,4587.025,4584.5,1529.796835,3428,366962,3.544427547,3.477550131,3.502009017,3.502170627,0.0001708981896,0.904980685,280.1607214,3.523830636,3.478746243,3.50178435,3.499945829,0.0001076622116,0.9203121762,280.142748,flat,P2,10,freeplay
584,0,262.15,275.5,13392.98987,9684,20972,4.4,0,3.139954188,3.234977391,0.3807541694,42.10807176,251.196335,6,0,3.246844034,3.294342022,0.6210617046,59.33390706,259.7475227,4662,4536,4596.75,4600.5,906.164557,2630,367740,3.523519164,3.473649826,3.498836122,3.498693914,0.0001246071136,1.023479122,279.9068897,3.521939447,3.472456254,3.497686049,3.499135906,0.0001355891943,1.029010857,279.8148839,4666,4528,4587.45,4582.5,1113.060759,3221,366996,3.527911034,3.475195822,3.502809795,3.501956338,0.0001303497521,1.109382316,280.2247836,3.525921024,3.471615721,3.49959592,3.500491885,0.0001170614669,0.8699204937,279.9676736,flat,P2,2,freeplay
601,0,267.6875,256,20889.45807,11445,21415,4.209606987,0,3.212745761,3.331828289,0.7703992897,65.19458274,257.0196609,4.28,0,3.123532692,3.373511905,0.898035837,76.22969358,249.8826154,4680,4511,4593.5,4595,1361.012658,3461,367480,3.529026626,3.468668407,3.498688673,3.499622864,0.0001745439735,1.244182594,279.8950938,3.525230364,3.473959468,3.499037755,3.499782915,0.0001398055531,1.042472023,279.9230204,4663,4487,4588.9,4592,1125.58481,2746,367112,3.569223986,3.476615184,3.501821723,3.500765203,0.0001703155706,1.112442273,280.1457379,3.519406891,3.480702515,3.500242113,3.498955781,9.08E-05,0.7971637811,280.0193691,flat,P2,2,freeplay
547,0,275.7375,295,13116.32263,8806,22059,6,0,3.349342645,3.415533597,0.5528089061,52.15372147,267.9474116,4.333333333,0,3.240091007,3.361743798,0.5514069467,51.01317415,259.2072805,4662,4502,4591.5375,4594,1150.226424,3083,367323,3.529450262,3.457161543,3.499580934,3.499729002,0.0001270663142,0.9567735389,279.9664747,3.522313692,3.464599824,3.497583232,3.498356634,0.0001283906501,0.9713441923,279.8066586,4652,4520,4588.95,4586,955.7949367,2726,367116,3.530576714,3.467540843,3.502170844,3.502492527,0.0001110092285,0.8791827327,280.1736675,3.522597631,3.470652411,3.500146408,3.5005425,9.38E-05,0.9006227199,280.0117126,flat,P2,2,freeplay
519,0,283.675,296,11346.39937,8719,22694,4.344537815,0,3.182281504,3.347413793,0.4285230555,46.5142706,254.5825203,5.127777778,0,3.078775825,3.222016202,0.6001595463,54.8222008,246.302066,4705,4528,4594.65,4592.5,1107.420253,3043,367572,3.533742331,3.472822528,3.501053109,3.499506974,0.0001436190643,1.002313544,280.0842487,3.537959539,3.473684211,3.499097917,3.498363362,0.0001972443593,1.275110406,279.9278334,4666,4503,4590.6625,4592.5,1224.074525,2942,367253,3.530167719,3.476033421,3.500150746,3.500108536,8.87E-05,0.8132049598,280.0120596,3.520575221,3.475907591,3.500366625,3.500326942,8.00E-05,0.7902084768,280.02933,flat,P2,2,freeplay
477,0,233.7,228.5,9248.693671,6384,18696,4.03264095,0,3.075686206,3.17416986,0.6666656105,53.28663884,246.0548965,5,0,3.176801186,3.307709073,0.7849282814,53.63699607,254.1440949,4663,4523,4596.55,4599.5,979.9721519,2426,367724,3.523540898,3.468039003,3.4971118,3.498200565,0.0001189225996,0.8455069905,279.768944,3.520595968,3.474222319,3.49752509,3.497276642,0.0001167640846,0.8871406005,279.8020072,4660,4506,4584.6875,4585.5,1004.394778,2460,366775,3.527352298,3.477741585,3.50243844,3.501856304,0.0001048242159,0.8777026647,280.1950752,3.540168664,3.475431317,3.501793024,3.501943662,0.0001469437824,0.910037768,280.1434419,flat,P2,3,freeplay
419,0,197.35,210,8904.306329,7376,15788,4.092436975,0,3.124859153,3.333929554,0.8268455353,62.06955157,249.9887323,6,0,3.214033054,3.459797005,1.22576285,80.17816635,257.1226443,4665,4496,4586.9375,4585.5,1160.008703,2743,366955,3.52991453,3.475123842,3.499505914,3.499565783,0.000147538307,1.001621464,279.9604731,3.52796518,3.465921307,3.497477278,3.497941006,0.0001542107855,1.162697133,279.7981822,4663,4492,4590.9125,4592.5,935.0428797,2558,367273,3.532744507,3.47737508,3.502882462,3.502996667,0.0001397329175,1.048774744,280.230597,3.520352035,3.479722403,3.498734828,3.499345843,8.86E-05,0.8966796287,279.8987863,flat,P2,3,freeplay
547,0,227.4,228.5,10768.04051,7166,18192,6,0,3.111123825,3.244156148,0.7334732604,55.37793003,248.889906,5.282828283,0,3.351155784,3.51447349,1.001662998,65.8146444,268.0924627,4666,4492,4590.4375,4589,1238.603639,2983,367235,3.527789934,3.473423714,3.500318165,3.500706599,0.0001058829307,0.9883318729,280.0254532,3.525107296,3.467660601,3.495544646,3.494132826,0.0001447400067,1.066914785,279.6435717,4663,4534,4595.1125,4597,784.6074367,2528,367609,3.521615721,3.475630983,3.500152274,3.499295325,7.67E-05,0.668478976,280.0121819,3.521566901,3.479732643,3.500487021,3.501027749,0.0001085911921,0.7711710761,280.0389617,flat,P2,3,freeplay
575,0,217.875,220,11138.87025,6833,17430,6,0,3.308852084,3.450389764,0.7024739696,57.43119844,264.7081667,5.444444444,0,3.305380406,3.507609542,0.8802278748,67.67717806,264.4304325,4668,4471,4586.6375,4585,1354.993513,3122,366931,3.530390417,3.465300727,3.497080419,3.497274903,0.0001475013384,0.9368103167,279.7664335,3.527009507,3.477695972,3.497224224,3.495898099,0.0001138559491,1.005199651,279.7779379,4676,4520,4596.8125,4593.5,962.0276899,2554,367745,3.531952017,3.472651994,3.501396543,3.500220243,0.0001598027946,0.9879398673,280.1117234,3.539651416,3.477159558,3.503652088,3.503483566,0.0001251341418,0.9025464873,280.292167,flat,P2,3,freeplay
554,0,217.6875,236,12782.16693,9664,17415,4.270833333,0,3.187897825,3.399148886,0.8340184839,65.13069805,255.031826,5.433333333,0,3.088882428,3.376299561,1.090517643,76.40133941,247.1105942,4652,4502,4579.925,4578,1099.791772,3355,366394,3.529022291,3.46668109,3.500222608,3.500823042,0.0001492535363,1.036368675,280.0178087,3.52956636,3.474480969,3.499497512,3.498847203,0.0001378989087,1.029943864,279.959801,4674,4552,4598.6375,4596.5,788.5631329,2600,367891,3.531598513,3.477194492,3.504023787,3.503160135,0.0001202617845,0.9987398995,280.321903,3.524400871,3.476846866,3.500736112,3.501423475,9.91E-05,0.9085683807,280.058889,flat,P2,4,freeplay
