max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,maxY,minY,meanY,medianY,varY,totalvarY,aucY,XmaxY,XminY,XmeanY,XmedianY,XvarY,XtotalvarY,XaucY,YmaxY,YminY,YmeanY,YmedianY,YvarY,YtotalvarY,YaucY,filecount,gesture
426,142,284.3,283,6655.959494,631,22744,4.111111111,2.943661972,3.488837581,3.417226458,0.1098975159,2.925557056,279.1070065,3.656626506,1.782828283,2.75954394,2.703308519,0.3081463126,6.61313881,220.7635152,4596,4567,4580.75,4580,64.13924051,141,366460,3.503496503,3.499125874,3.50136126,3.501201137,9.64E-07,0.03504923106,280.1089008,3.504050799,3.494125326,3.499990661,3.500109218,5.39E-06,0.04660880393,279.9992529,3,rub
397,199,289.4,282.5,3063.306329,857,23152,3.205696203,2.66440678,2.982660965,3.027022822,0.02452672894,1.716452273,238.6128772,4.231155779,1.493630573,2.788078287,2.78462334,0.6693169571,7.239827035,223.046263,4591,4544,4574.075,4576.5,180.3234177,148,365926,3.504045484,3.496709083,3.49992263,3.499563126,3.48E-06,0.04745320283,279.9938104,3.516043956,3.495858762,3.504248681,3.504098863,3.30E-05,0.06070162877,280.3398945,3,rub
448,161,309.5375,321,5247.1125,688,24763,3.140893471,2.68914956,2.892555789,2.856632224,0.0199677641,1.783305676,231.4044631,3.668341709,1.513784461,2.410685446,2.391505237,0.4038808397,6.526554596,192.8548357,4593,4554,4579.9375,4581,67.98338608,137,366395,3.505134367,3.497383341,3.500813618,3.500599949,3.18E-06,0.05142719315,280.0650894,3.513614405,3.497491821,3.504474016,3.503983394,1.36E-05,0.05088223187,280.3579212,3,rub
367,117,241,233,4894.734177,595,19280,4.423611111,3.361386139,3.849060215,3.78235742,0.1073731212,2.844864402,307.9248172,4.834254144,1.468013468,2.939580686,2.56801341,1.133859713,6.537802809,235.1664549,4599,4562,4582.6,4587,126.8759494,135,366608,3.504033137,3.493973263,3.500476678,3.500817266,3.83E-06,0.04441775753,280.0381342,3.514467339,3.496841647,3.502071905,3.500218245,2.27E-05,0.04728317392,280.1657524,4,rub
357,129,250.7625,235.5,4781.322627,621,20061,3.686217009,2.950413223,3.243984841,3.25460258,0.02196478136,2.066710253,259.5187873,4.613733906,1.906976744,3.240903922,3.120449509,0.7849429508,6.522863848,259.2723137,4592,4581,4587.1,4587,9.053164557,107,366968,3.50556647,3.499019821,3.501398153,3.501415814,1.81E-06,0.04067714844,280.1118523,3.501418285,3.494881289,3.498267574,3.498146533,2.44E-06,0.04674043396,279.8614059,4,rub
385,159,286.5875,269.5,3299.739082,619,22927,3.637393768,2.906015038,3.25606979,3.249788955,0.05781419953,2.163153014,260.4855832,4.303370787,1.987755102,3.077623189,2.8101403,0.6781019268,4.903399085,246.2098551,4596,4570,4584.4375,4585,46.93275316,119,366755,3.503926702,3.496940559,3.500186564,3.499836755,3.46E-06,0.03871570413,280.0149251,3.509396853,3.497709924,3.501709687,3.500108933,1.19E-05,0.04508471107,280.136775,4,rub
409,154,306.0875,319,5030.587184,778,24487,3.703241895,2.68452381,3.295384515,3.28883064,0.07510354848,2.131562416,263.6307612,3.897560976,2.025062657,2.891208891,2.937936212,0.4472439975,4.034810243,231.2967113,4590,4571,4581.825,4582,24.24746835,136,366546,3.505679336,3.497814685,3.501004214,3.500381442,3.86E-06,0.04082145172,280.0803371,3.509071038,3.497382199,3.502353429,3.501799132,9.28E-06,0.04323764715,280.1882743,4,rub
257,102,179.5,182,1884.329114,606,14360,4.345454545,2.77124183,3.514091922,3.580265807,0.2256336491,4.565156467,281.1273537,4.609195402,1.888888889,3.170846782,3.076754386,0.850718317,8.491231861,253.6677426,4591,4570,4581.7375,4582,33.68971519,138,366539,3.501418904,3.496068152,3.49883337,3.498691099,1.09E-06,0.04824290042,279.9066696,3.507766353,3.499234973,3.503227169,3.503163418,4.59E-06,0.05243516061,280.2581736,5,rub
334,165,243.2625,235,2049.461867,525,19461,4.484716157,3.084033613,3.817734109,3.825258574,0.1305332151,2.593151976,305.4187287,4.233183857,1.69787234,2.897153105,2.742589586,0.6683934075,6.940092371,231.7722484,4594,4574,4584.75,4585,26.03797468,113,366780,3.50174216,3.493662587,3.498474571,3.49825746,4.60E-06,0.04352475268,279.8779657,3.510382514,3.497709924,3.503015219,3.502181501,1.18E-05,0.04833049938,280.2412175,5,rub
281,84,206.2625,210,1999.487184,418,16501,5.14973262,3.54368932,4.41919015,4.471645143,0.2425044664,4.151767958,353.535212,5.055248619,2.454873646,3.80086345,3.820663772,0.6337419558,7.321423886,304.069076,4592,4581,4586.5875,4586.5,6.068196203,122,366927,3.499672989,3.494335512,3.497319493,3.497602441,1.26E-06,0.04317418416,279.7855595,3.506439642,3.494438386,3.50071531,3.50098082,9.25E-06,0.05147739027,280.0572248,5,rub
