"max","min","mean","median","var","totalvar","auc","Xmax","Xmin","Xmean","Xmedian","Xvar","Xtotalvar","Xauc","Ymax","Ymin","Ymean","Ymedian","Yvar","Ytotalvar","Yauc","subcondition","subject","filecount","gesture"
"4706","4501","4579.2125","4570","1847.81503164557","2185","366337","3.52929471589653","3.48208538940142","3.50426538445196","3.50373895472502","0.00010332408110711","0.879746236177079","280.341230756157","3.54697554697555","3.50175284837862","3.52626172420719","3.52598721776807","0.000116643934983686","0.966851993167384","282.100937936576","flat","P2","1","constant"
"4647","4496","4560.85","4563.5","956.559493670886","2662","364868","3.53132556605847","3.47954897192129","3.50681789539991","3.50540134450734","0.00011428309420881","0.975531322948668","280.545431631993","3.55","3.49946201850656","3.52585960761763","3.5255578498715","0.000100625038470143","0.933044343912429","282.06876860941","flat","P2","1","constant"
"4637","4464","4558.6375","4559","758.993512658228","2317","364691","3.53068996415771","3.48028909329829","3.50740219085367","3.50736430712671","0.000101849847182006","0.911761547502748","280.592175268294","3.55614266842801","3.49867666519629","3.52628928840779","3.52684078915949","0.000106001943463408","0.928075203446879","282.103143072623","flat","P2","1","constant"
"4611","4490","4561.1","4562","830.091139240506","2718","364888","3.53302911777488","3.48349471830986","3.50614827194729","3.50662402787853","9.34634852500855e-05","0.876037227345284","280.491861755783","3.54467618002195","3.50206836490311","3.52579050916646","3.52668194945157","8.25927262549483e-05","0.796968085356144","282.063240733317","flat","P2","1","constant"
"4605","4443","4521.025","4521","830.024683544304","2464","361682","3.53181112835292","3.47860784748393","3.50564109667977","3.50592927218132","0.000101674285530587","0.866716649475233","280.451287734381","3.54192685102587","3.48758514612173","3.51344883841764","3.51384803699521","0.000110124916420845","0.817184036185925","281.075907073411","flat","P2","5","constant"
"4603","4432","4527","4524.5","955.493670886076","2573","362160","3.53471915081822","3.48975996476547","3.50961003918451","3.5106215320723","8.86261614089426e-05","0.756346352153313","280.768803134761","3.54579813250333","3.49249183895539","3.51354323734362","3.51278111965957","9.3407645288279e-05","0.873239101071944","281.083458987489","flat","P2","5","constant"
"4609","4455","4540.15","4537.5","961.8","2842","363212","3.5406899601946","3.49149214659686","3.51057979027696","3.51020117954278","0.000102842430264667","0.859865332680676","280.846383222157","3.53859804791482","3.48702019081429","3.51035801248799","3.50922511468076","0.000118973578231061","1.05004552541119","280.828640999039","flat","P2","5","constant"
"4617","4474","4540.85","4540.5","881.470886075949","2778","363268","3.53561253561254","3.47939166850342","3.50715970572964","3.50858146492837","0.000106739877554001","0.885872998670985","280.572776458371","3.53220790759662","3.49561403508772","3.51347874043993","3.51369784047952","7.84122486105007e-05","0.824219730441971","281.078299235194","flat","P2","5","constant"
"4574","4447","4509.025","4510","745.062658227848","2145","360722","3.53270397842212","3.48203658805378","3.50181797104139","3.50016633870981","9.7710359729014e-05","0.816365563258833","280.145437683311","3.55691418408181","3.50460122699387","3.53037778037622","3.53200905366077","0.000129140818468107","0.88509140667869","282.430222430098","flat","P2","6","constant"
"4574","4438","4507.175","4509","887.968987341772","2600","360574","3.50811652212586","3.44622124863089","3.48975254242314","3.49108221861986","0.000112025022825636","0.908816907491389","279.180203393852","3.5654226618705","3.51168945743273","3.53563930763737","3.53627199877531","0.000134210137277935","1.10906460861474","282.851144610989","flat","P2","6","constant"
"4567","4440","4507.3625","4507.5","885.018829113924","2830","360589","3.51183890241204","3.46693209466932","3.49366388606616","3.49370040906225","8.43895213292602e-05","0.853583479625991","279.493110885293","3.56434316353887","3.51358515573227","3.53522138702695","3.53423491619468","0.000132275069837378","1.09154053407514","282.817710962156","flat","P2","6","constant"
"4600","4439","4513.3375","4515.5","1003.64414556962","2938","361067","3.52061170212766","3.46172620368316","3.49472973541487","3.49486580951119","9.3052877731756e-05","0.961115052198346","279.57837883319","3.55754590237349","3.50747252747253","3.53112398655305","3.53102836309582","9.90515288108228e-05","0.893923949427142","282.489918924244","flat","P2","6","constant"
"4569","4439","4502.225","4503","926.404430379747","2898","360178","3.53025228845724","3.47459125055236","3.5069203983371","3.50824587162615","0.000122884905955515","0.94811342866603","280.553631866968","3.54335130278527","3.48153034300792","3.51674263865819","3.51729924753251","0.000122852927808099","0.96330863568606","281.339411092655","flat","P2","7","constant"
"4572","4409","4497.1","4495","888.369620253165","2603","359768","3.52780830951858","3.47929125138427","3.50633008721111","3.50749032257082","0.000114241904980463","1.09853707988249","280.506406976889","3.53106708689779","3.49024390243902","3.51278033260944","3.51244433635103","8.45994018071711e-05","0.798636377190655","281.022426608755","flat","P2","7","constant"
"4569","4420","4504.15","4499","1083.72405063291","2810","360332","3.54547511312217","3.48517279821628","3.5082792886079","3.51033562166285","0.000123431858507195","0.977648011965666","280.662343088632","3.53461538461538","3.48227262717463","3.51036716233239","3.51098535354466","0.000106406063670967","0.898360010474795","280.829372986591","flat","P2","7","constant"
