"maxSY","minSY","meanSY","medianSY","varSY","totalvarSY","aucSY","XmaxSY","XminSY","XmeanSY","XmedianSY","XvarSY","XtotalvarSY","XaucSY","YmaxSY","YminSY","YmeanSY","YmedianSY","YvarSY","YtotalvarSY","YaucSY","subconditionSY","subjectSY","filecountSY","gestureSY"
"4715","4464","4589.875","4591","2396.5664556962","4356","367190","3.55957307776084","3.45411460577337","3.50713631222955","3.50576301913997","0.000307667826457773","1.42695666086241","280.570904978364","3.53770139634801","3.45269827397859","3.49403634783335","3.49418103178086","0.000248536000637591","1.32897655168017","279.522907826668","flat","P1","1","constant"
"4694","4496","4589.3375","4591","2083.51756329114","4326","367147","3.54575670285841","3.46006178287732","3.50581886518306","3.50586951581482","0.000366715096586674","1.4856786471995","280.465509214644","3.54597828495458","3.44525862068966","3.49335097453517","3.49675189056313","0.000374073004586388","1.65320807420221","279.468077962814","flat","P1","1","constant"
"4690","4422","4587.0625","4588","2570.03401898734","4580","366965","3.55061515216922","3.46882520236272","3.50378273112896","3.50120302252533","0.000373688049451902","1.59321786339113","280.302618490317","3.53839422445854","3.4475539414655","3.49313855654748","3.49532094270617","0.000332761511893183","1.42555816319858","279.451084523798","flat","P1","1","constant"
"4711","4447","4596.0125","4602","2465.22768987342","4559","367681","3.55276816608997","3.46477052359405","3.50617548576427","3.5027413258727","0.000343853600988413","1.46563308094128","280.494038861142","3.53922628052734","3.44551845342707","3.49558827930373","3.49683779362844","0.000308674237336115","1.46016446689643","279.647062344298","flat","P1","1","constant"
"4675","4438","4570.375","4566","2703.88291139241","4687","365630","3.55084559631013","3.46108695652174","3.50666299306104","3.50648579617045","0.00036003508019382","1.5436790263996","280.533039444883","3.54763505940372","3.46890056942619","3.5030904811516","3.50314102431004","0.000258200582360167","1.43426368525016","280.247238492128","flat","P1","2","constant"
"4664","4427","4565.275","4568.5","2334.40443037975","4168","365222","3.54513507577421","3.44717768504283","3.50332651980218","3.50313490231145","0.000374553562602184","1.50146344434736","280.266121584175","3.53602891348543","3.45685840707965","3.50136287747668","3.50335557877167","0.000323106542421507","1.64707342718184","280.109030198135","flat","P1","2","constant"
"4696","4400","4569.2","4570","3340.36455696203","5661","365536","3.55621301775148","3.46274852523487","3.50688001095906","3.50765144218621","0.000417042340765562","1.84873123332289","280.550400876725","3.53703289326471","3.46275684931507","3.50352220934361","3.50296863235969","0.000265630029348369","1.39329108974527","280.281776747489","flat","P1","2","constant"
"4684","4469","4577.0375","4576.5","2645.80870253165","4770","366163","3.55896885069817","3.45594374862668","3.50493577414297","3.50576540443258","0.000429501207335297","1.56985842968647","280.394861931438","3.56286095068858","3.45322650498051","3.50368891019573","3.50343530084667","0.000295689500749086","1.38207587432865","280.295112815658","flat","P1","2","constant"
"4664","4472","4569.225","4571.5","1848.78417721519","4011","365538","3.55775577557756","3.46947738252086","3.5088190890241","3.50751900318763","0.000388678406704571","1.87015266236478","280.705527121928","3.54156560088203","3.46801566579634","3.50440218852371","3.50378119601838","0.000290060696199549","1.47454465511835","280.352175081897","flat","P1","3","constant"
"4702","4420","4577.375","4570.5","2548.94620253165","4138","366190","3.55956112852665","3.45045831514622","3.50595294238445","3.50854166933366","0.000424464146403599","1.70569506621208","280.476235390756","3.54833737062321","3.47236842105263","3.5036319964282","3.50119903771387","0.00023128185982557","1.23016144295331","280.290559714256","flat","P1","3","constant"
"4702","4483","4578.125","4576","2006.16139240506","4132","366250","3.56133828996283","3.47198755002223","3.51079796322801","3.50847800960968","0.00036785091772808","1.69603801809281","280.863837058241","3.53958880139982","3.46331877729258","3.50616940510423","3.50835559409597","0.000266945684244382","1.50400701264402","280.493552408338","flat","P1","3","constant"
"4671","4469","4579.275","4577.5","2205.56898734177","4329","366342","3.54666666666667","3.47109634551495","3.5083758855338","3.50874069090866","0.00038068127235444","1.55937361363694","280.670070842704","3.55337925096858","3.46085447842117","3.50104326826131","3.49978324936422","0.00036010318998621","1.55578575646448","280.083461460905","flat","P1","3","constant"
"4661","4481","4580.775","4582.5","1348.65759493671","3265","366462","3.56679894179894","3.45517993456925","3.50556212136222","3.50695018391396","0.000474528493186419","1.70014535829948","280.444969708978","3.55223555070883","3.47066492829205","3.50812298992437","3.5070964201543","0.000285690040258979","1.4060654144804","280.64983919395","flat","P1","4","constant"
"4729","4459","4583.2625","4578.5","2173.76566455696","3926","366661","3.53441558441558","3.45992954645531","3.5038022497557","3.50472457794971","0.000299996493480494","1.36890915016057","280.304179980456","3.5617067833698","3.46113537117904","3.50638663677018","3.50602948240299","0.000409413254469531","1.45208395566795","280.510930941614","flat","P1","4","constant"
"4727","4451","4587.5625","4586.5","2595.61629746835","4523","367005","3.54569713142095","3.44044022442814","3.50239810664977","3.50223388834215","0.00030043040604289","1.22063948199152","280.191848531981","3.56109185441941","3.46490292297845","3.50762918074418","3.50751961960566","0.000328316089050943","1.52815023158035","280.610334459534","flat","P1","4","constant"
"4699","4490","4582.3375","4576","2391.54287974684","4125","366587","3.54249667994688","3.45450549450549","3.49854444765864","3.49978098788801","0.000342465009831768","1.44307986571448","279.883555812691","3.55407762756215","3.47397081245916","3.50705930894327","3.5081142361314","0.000310143368934949","1.5002779243442","280.564744715461","flat","P1","4","constant"
"4700","4485","4572.8125","4569","1759.69857594937","4167","365825","3.54064600043356","3.44970283953335","3.49952686560137","3.50189002118216","0.000391398554526991","1.62866378821244","279.96214924811","3.56406318560772","3.45237068965517","3.50544299895315","3.50748666677813","0.000339633125571885","1.70154222625964","280.435439916252","flat","P1","5","constant"
"4638","4473","4564.075","4564.5","1713.71582278481","3976","365126","3.53884440597273","3.44688805806026","3.50032660834159","3.50388574968772","0.000425487808138384","1.70844901518769","280.026128667327","3.54051078819903","3.47319296722379","3.50652055847059","3.50696150435899","0.000280716959006628","1.67313568309666","280.521644677647","flat","P1","5","constant"
"4683","4465","4562.0875","4554","2265.85300632911","4567","364967","3.54456308563957","3.44884632128864","3.49741173801284","3.49956120083485","0.000446377703693383","1.94499596519294","279.792939041027","3.57155361050328","3.45924149956408","3.50894567476506","3.50777752240115","0.000388793613469208","1.71716884159094","280.715653981205","flat","P1","5","constant"
"4682","4484","4573.1375","4575.5","1592.06946202532","3810","365851","3.56617326948193","3.45378704720088","3.49767165521952","3.49864367433669","0.000532263664386181","1.88432204023461","279.813732417561","3.55088888888889","3.47613737734166","3.51032200209846","3.51082312145693","0.000259683903090245","1.49450321567404","280.825760167877","flat","P1","5","constant"
"4657","4482","4567.775","4571.5","1440.27784810127","3189","365422","3.54233958969882","3.4690055962118","3.50830909446342","3.50822784495221","0.00035816233445322","1.45171758848134","280.664727557074","3.54485776805252","3.4681130834977","3.50759124766251","3.5043892214322","0.00025081247798666","1.5082561147807","280.607299813001","flat","P1","6","constant"
"4717","4456","4574.45","4573.5","2321.01012658228","4523","365956","3.5574024822695","3.46398952422523","3.50874927543668","3.50780535681332","0.000385396811213129","1.51246144080113","280.699942034934","3.55785032200755","3.46370791429821","3.50877799424848","3.51036653829844","0.000370381293667493","1.59722912952178","280.702239539879","flat","P1","6","constant"
