max,min,mean,median,var,totalvar,auc,Xmax,Xmin,Xmean,Xmedian,Xvar,Xtotalvar,Xauc,Ymax,Ymin,Ymean,Ymedian,Yvar,Ytotalvar,Yauc,subject,filecount,gesture
6086,0,1371.8875,88.5,4447380.759,155170,109751,6,0,2.939993408,3.481841684,2.158308745,103.004593,235.1994727,6,0,2.689155235,2.923076923,3.12556963,151.5687343,215.1324188,2,7,freeplay
6002,0,778.575,32,2557970.855,95333,62286,6,0,3.263684504,3.509640103,2.382460986,145.6439165,261.0947604,6,0,2.670291608,2.596875,2.647348095,154.0355901,213.6233286,2,7,freeplay
6054,0,570.425,56.5,1527610.728,71626,45634,6,0,3.354711866,3.658246206,2.288263557,120.6021087,268.3769493,6,0,2.609429075,2.379065041,2.596532108,151.6920222,208.754326,2,7,freeplay
6026,0,1062.8625,21,3253097.791,112489,85029,6,0,2.629592129,3.31811602,2.722275231,154.6147897,210.3673703,5.975328947,0,2.393460158,2.545955882,3.662762135,191.1767331,191.4768126,2,1,no
5846,0,1342.85,26,4144709.243,145042,107428,5.846153846,0,2.485927518,3.539295496,3.048327355,147.6749935,198.8742014,6,0,2.260347264,2.9,3.327982011,159.840055,180.8277811,2,1,no
5789,0,956.3375,19.5,3207908.606,122924,76507,6,0,2.368187749,3.01309329,3.135504826,159.1671399,189.45502,6,0,2.33636863,2.723958333,3.72823898,168.1181544,186.9094904,2,1,no
5730,0,1065.425,18,3456273.336,116285,85234,6,0,2.374642636,3.026315789,3.432150374,139.7426899,189.9714109,5.984662577,0,2.170027778,2,4.00143054,160.9839239,173.6022223,2,1,no
5369,22,623.7125,216,1303461.625,72420,49897,5.590909091,1.886075949,3.469390745,3.533029217,0.6394210455,65.6080637,277.5512596,5.911458333,1.31496063,3.596687732,3.562248165,1.047176232,89.39092085,287.7350186,2,2,no
7014,45,957.7125,276,3031561.499,95258,76617,4.962962963,2.013888889,3.48514554,3.528732285,0.2748344335,46.1013879,278.8116432,5.723636364,1.224870466,3.487278462,3.476300419,0.8382346564,77.31320851,278.9822769,2,2,no
7146,46,1157.925,269,3996356.172,106062,92634,5.114285714,1.940677966,3.369142949,3.412613122,0.414947837,53.58146447,269.5314359,5.775252525,1.296587927,3.571528141,3.600969453,1.067881473,93.07982995,285.7222513,2,2,no
7023,17,579.2125,202.5,964878.1188,63572,46337,5.310344828,1.526717557,3.538597086,3.603865696,0.4237818361,53.22309609,283.0877669,5.82,1.364358683,3.590295638,3.657007363,1.125694193,98.24725858,287.223651,2,2,no
6263,0,1068.6,41.5,3714607.559,126126,85488,6,0,2.968763748,3.331080099,2.226091804,127.8718727,237.5010999,6,0,2.765371098,2.967741935,3.014073851,149.1044046,221.2296879,2,3,no
6231,0,1415.95,60.5,4405523.795,166989,113276,6,0,3.025749246,3.487386798,2.407281434,136.2230114,242.0599397,6,0,2.971162812,3.374933306,3.137427697,153.9706348,237.693025,2,3,no
6104,0,840.8,32,2831503.327,108287,67264,6,0,3.167726564,3.498321596,2.212423633,119.9750033,253.4181251,6,0,2.967676499,3.008320726,3.145520212,154.1960176,237.4141199,2,3,no
5832,0,846.6375,33,2668735.297,96726,67731,6,0,2.947226859,3.316728404,2.551351784,130.3265025,235.7781487,6,0,2.55731249,2.641025641,3.08536193,153.7192658,204.5849992,2,3,no
7007,13,839.3375,144.5,2888074.885,94539,67147,5.703703704,1.636363636,3.691151719,3.662298851,0.5723406854,68.52597699,295.2921375,5.672985782,1.127058824,3.513887086,3.476905907,1.120416482,92.22066194,281.1109669,2,4,no
6919,14,692.875,140,2179762.491,80000,55430,5.083333333,2.06,3.651374485,3.600617345,0.4167672774,53.42515029,292.1099588,5.791878173,1.152601156,3.509720818,3.4432002,0.9846201423,88.64275306,280.7776654,2,4,no
7000,15,1032.575,188.5,3677178.754,113152,82606,4.842105263,1.548387097,3.614290802,3.659132834,0.418093646,56.24519308,289.1432642,5.511627907,1.095870206,3.407307855,3.429269244,1.019458945,85.06286377,272.5846284,2,4,no
6971,4,634.5875,153,1614048.397,65963,50767,6,1.235294118,3.606694795,3.568893764,0.6210090585,68.97625866,288.5355836,6,1,3.555653701,3.658515106,1.192555431,96.05083183,284.4522961,2,4,no
6174,0,1208.425,51,4232628.728,127500,96674,6,0,3.347337265,3.536022102,1.564399039,118.0005781,267.7869812,6,0,3.051999296,3.082624168,2.210305405,136.2639223,244.1599437,2,5,no
6321,0,1535.4625,63,5110256.834,181373,122837,6,0,3.208199805,3.536914555,2.155060669,133.826865,256.6559844,6,0,3.074092491,3.363827853,2.727029663,152.0376816,245.9273993,2,5,no
6144,0,1121.125,51.5,3551050.339,126371,89690,6,0,3.134713676,3.505015571,2.243918992,130.3950537,250.7770941,5.908496732,0,2.817384945,3.079735769,2.8743359,164.9169761,225.3907956,2,5,no
6207,0,854.15,43,3040790.078,103710,68332,6,0,3.157755504,3.510349855,2.256027586,119.420926,252.6204403,6,0,2.881830159,2.964603467,3.013850535,133.8767791,230.5464128,2,5,no
6526,0,923.0375,109,3114952.037,109184,73843,6,0,3.124423041,3.433560924,1.498655921,103.9104403,249.9538433,5.940092166,0,3.052985456,3.290991903,2.123901539,122.7031158,244.2388365,2,6,no
6469,0,910.7875,92,3109967.41,111783,72863,6,0,3.735398096,3.674340183,1.132296624,89.85397187,298.8318477,5.937406855,0,3.207999395,3.308540202,1.884715781,122.6681875,256.6399516,2,6,no
6603,0,1349.625,122,4828405.756,157988,107970,6,0,3.463617643,3.548838269,0.9711369486,79.57749559,277.0894114,6,0,3.44635678,3.385562168,1.571263178,119.9431345,275.7085424,2,6,no
6563,2,784.125,95,2606983.883,97243,62730,6,1.275510204,3.608036561,3.598432056,0.8653138328,82.04772427,288.6429249,5.993348115,1.01958042,3.223348623,3.119018289,1.316606324,96.73598529,257.8678898,2,6,no
6334,0,1156.05,72,3933294.656,138239,92484,6,0,3.23671536,3.319182717,1.253623089,90.85675305,258.9372288,6,0,3.071162895,3.288649471,2.635055601,145.9364905,245.6930316,2,7,no
6518,0,1745.1625,269.5,5456872.239,175413,139613,5.692307692,0,3.45359672,3.555697151,0.9609531849,88.0801924,276.2877376,6,0,3.262855965,3.358802418,2.140396243,134.5882241,261.0284772,2,7,no
6285,0,1501.8625,85.5,4835110.576,156898,120149,6,0,3.563990569,3.608616916,1.445790734,99.22087156,285.1192455,6,0,3.068377518,3.36060965,2.706062245,172.8729345,245.4702015,2,7,no
6315,0,1680.35,81.5,5195486.256,180543,134428,6,0,3.389931536,3.548846397,1.453931733,90.03480068,271.1945229,5.803220036,0,2.943521163,3.017899274,2.095669434,128.1031453,235.4816931,2,7,no
6998,43,967.075,252,2821317.792,113669,77366,4.769230769,1.892473118,3.476732922,3.553336637,0.3473549074,49.09123711,278.1386338,5.696404794,1.171840355,3.728967546,3.714239859,1.007951061,94.51008409,298.3174037,2,1,pat
7131,28,740,216,2036994.962,75005,59200,4.743333333,1.563535912,3.685382123,3.743778935,0.359534795,41.80217385,294.8305699,5.772151899,1.537753223,3.59429381,3.518984105,0.941932199,92.68517898,287.5435048,2,1,pat
6765,51,711.3375,251,1698932.809,82241,56907,5.352941176,1.666666667,3.75108638,3.772693243,0.4709494775,61.4542501,300.0869104,5.590336134,1.038847118,3.458751622,3.463572598,0.92103228,86.5873376,276.7001298,2,1,pat
7276,42,1201.825,293.5,4255240.323,134235,96146,5.155172414,2.282485876,3.567803087,3.551543568,0.2310354851,39.68437192,285.424247,5.776655443,1.198595787,3.513793004,3.448752169,1.072685663,81.05216803,281.1034403,2,1,pat
6217,0,1191.15,53.5,4128486.863,129873,95292,6,0,3.368614055,3.563816172,1.889824424,99.91093207,269.4891244,6,0,3.177849286,3.292804416,2.111253231,135.4684406,254.2279429,2,2,pat
6333,0,1150.7375,82,3762789.006,128481,92059,6,0,3.559273889,3.583566531,1.294315156,92.82386366,284.7419111,5.836134454,0,2.886070664,2.987288136,2.056693902,119.6394001,230.8856531,2,2,pat
6201,0,1007.4125,99.5,3075563.714,111760,80593,6,0,3.793054264,3.709789449,1.540497779,104.1611832,303.4443411,5.956834532,0,2.672267491,2.518854362,2.079590513,129.6130678,213.7813993,2,2,pat
6503,0,1628.7,135,5181761.732,180224,130296,6,0,3.925949942,3.80719076,1.269885623,89.23484476,314.0759954,6,0,3.08082686,3.270803242,1.846470718,112.4508125,246.4661488,2,2,pat
7121,27,1046.1375,231,3507779.31,115521,83691,5.273584906,1.97826087,3.662875285,3.646601161,0.3993597583,51.69977794,293.0300228,5.885542169,1.407366071,3.388782984,3.421134962,0.8306495784,86.70570636,271.1026387,2,3,pat
7275,32,1104.6125,278,3906466.62,111418,88369,5.197452229,1.58891455,3.798275427,3.784466019,0.4882097202,58.53698594,303.8620341,5.522753792,1.153354633,3.341928906,3.391490265,0.9303916678,92.39629042,267.3543125,2,3,pat
6819,32,458.2125,196.5,650361.5112,47453,36657,5.375,1.968565815,3.619212623,3.665342227,0.4674673657,58.01420229,289.5370098,5.904761905,1.098231827,3.415298834,3.392548769,1.186495203,100.0884114,273.2239067,2,3,pat
7134,21,826.5625,227,2423445.869,81608,66125,5.904761905,2.324873096,3.755848316,3.792003106,0.2858249793,43.84438666,300.4678652,5.747688243,1.038798498,3.434307817,3.487390562,0.9781740888,89.5695452,274.7446254,2,3,pat
6354,0,1455.0875,55.5,4897722.739,166654,116407,6,0,3.313134142,3.547810548,1.771695834,98.66172111,265.0507313,6,0,3.204111407,3.397444795,2.452694253,130.0380369,256.3289126,2,4,pat
6255,0,1301.6,53,4444529.23,141255,104128,6,0,3.187865377,3.585462696,2.307593222,140.3188462,255.0292301,5.976470588,0,2.875386083,3,2.511206533,143.6629075,230.0308866,2,4,pat
6190,0,1067.575,52,3462076.88,118644,85406,6,0,3.177744199,3.56091973,2.207806806,129.3105118,254.2195359,6,0,2.951449736,3,3.224737997,161.2481632,236.1159789,2,4,pat
6071,0,1551.0125,138,5020102.291,147891,124081,6,0,3.103196998,3.530315479,2.154793448,122.3087853,248.2557598,6,0,2.997768585,3.352444442,2.847942052,169.0154941,239.8214868,2,4,pat
6571,3,1294.8375,254,4050397.631,159049,103587,6,2.018518519,4.101277578,3.981585874,0.5845626949,64.26120199,328.1022062,5.861007463,1.059701493,3.151527241,3.414067399,1.475674123,97.02227347,252.1221793,2,5,pat
6871,0,1330.625,133,4934407.402,151650,106450,5.6,0,3.76115969,3.706580471,0.9093651555,71.56010558,300.8927752,6,0,3.246499899,3.363332666,1.79112116,120.5335376,259.7199919,2,5,pat
6936,5,1718.9875,294.5,5868694.924,181613,137519,6,1.5,3.824658219,3.723842293,0.5330496085,59.97880202,305.9726575,5.734375,1.0013947,3.350922068,3.381788868,1.349453199,109.1446625,268.0737654,2,5,pat
7000,0,1673.675,454,5121251.513,175374,133894,6,0,3.598523756,3.664854799,0.7967470279,65.83149417,287.8819005,5.791500664,0,3.350794967,3.40697009,1.568664211,119.3494293,268.0635973,2,5,pat
6501,0,1317.5375,290.5,4396098.176,132128,105403,6,0,3.224174299,3.417791273,1.003598596,68.49710139,257.9339439,6,0,3.90599627,4.098088803,2.287098948,128.4087168,312.4797016,2,1,pinch
6293,1,1184.05,244.5,3872316.124,121191,94724,6,1.545454545,4.009848743,3.842845535,0.9166835491,68.51599645,320.7878995,6,1,2.815174138,2.754419643,1.357484381,94.91023177,225.213931,2,1,pinch
5950,0,1258.0875,349,3006376.435,122752,100647,5.831775701,0,3.659253146,3.670750575,0.5374088712,48.96255829,292.7402517,5.82346723,0,3.458327369,3.506472488,1.31777351,99.79299559,276.6661896,2,1,pinch
6411,0,1448.3,185,4675833.681,171684,115864,6,0,3.72395568,3.707551217,1.574391987,91.42179209,297.9164544,5.89068323,0,2.745830299,2.55702381,1.965580321,132.9272092,219.6664239,2,1,pinch
6240,0,1181.225,222,3736397.088,121894,94498,6,0,3.010455521,3.22718254,1.604261268,100.7965839,240.8364417,5.625,0,3.362479972,3.44069023,1.934713082,110.8269934,268.9983978,2,2,pinch
6368,0,1067.35,228,3360332.914,118333,85388,6,0,3.571129903,3.620353265,1.759296497,88.53816411,285.6903923,5.910984848,0,3.235906534,3.379138762,1.958783784,107.5279123,258.8725227,2,2,pinch
6266,0,954.9625,278,2599073.302,98209,76397,6,0,3.452004226,3.553131214,1.656050614,93.78932959,276.1603381,5.947089947,0,3.340457371,3.367844813,2.143674673,121.8728227,267.2365897,2,2,pinch
6468,0,1874,707,5444749.468,172595,149920,5.7,0,3.372350349,3.610214404,1.116523158,73.66328301,269.7880279,5.939655172,0,3.255890642,3.384015236,2.304898013,136.2757445,260.4712514,2,2,pinch
6426,0,1059.9125,251,2955156.005,107465,84793,5.937106918,0,3.66924936,3.570310528,0.9385988173,69.50942693,293.5399488,5.617647059,0,3.192515379,3.344516595,1.441943636,99.84432535,255.4012303,2,3,pinch
6591,0,1445.9375,292,4670713.705,159492,115675,6,0,3.791086067,3.664416232,0.7982234547,61.72974728,303.2868853,5.729230769,0,3.156604942,3.243384615,1.338337558,85.38293699,252.5283953,2,3,pinch
6588,2,1120.075,180,3943819.463,133147,89606,5.6875,1,3.674866322,3.626770751,0.7087945492,61.55037095,293.9893058,5.881799163,1.026350461,3.282261769,3.248894783,1.23526677,89.60384571,262.5809415,2,3,pinch
6755,2,1112.375,290,3457628.566,116556,88990,6,1.6,3.844463236,3.631594228,0.7544248655,51.97718444,307.5570589,5.58125,1,3.025638157,2.935087719,1.134353813,83.7493823,242.0510526,2,3,pinch
6215,0,1215.2125,303,3405000.878,114550,97217,6,0,3.441337604,3.583591331,1.878927717,93.99675671,275.3070084,6,0,3.411106776,3.41941606,1.829785882,113.1575283,272.8885421,2,4,pinch
6349,0,1316.075,116,4053623.311,101947,105286,6,0,3.24309951,3.532675618,1.867039964,99.65499734,259.4479608,5.479432624,0,2.851742714,3.03800475,2.307854135,107.5658541,228.1394171,2,4,pinch
6252,0,857.4,125.5,2609256.192,91589,68592,6,0,3.489423435,3.694195356,1.617955103,96.20282102,279.1538748,6,0,3.100361314,3.26562846,2.22229543,128.2391153,248.0289052,2,4,pinch
6287,0,964.775,194.5,3136139.366,107777,77182,6,0,3.620036696,3.581741826,1.611344514,101.9847929,289.6029356,6,0,3.20937532,3.371353675,2.04805597,121.9944555,256.7500256,2,4,pinch
7275,3,599.275,262,1164291.012,59718,47942,5,1.57037037,3.65786557,3.666519435,0.3973957045,52.59670053,292.6292456,5.702702703,1.466666667,3.458228586,3.464778654,0.9112266647,82.05321955,276.6582869,2,5,pinch
7048,41,850.4375,296,2030263.49,88484,68035,5.407821229,1.671052632,3.591053216,3.617951983,0.4772750574,61.63737023,287.2842573,5.885955649,1.218863362,3.834781576,3.958771152,1.101007476,90.6708095,306.7825261,2,5,pinch
7173,25,1018.025,302,3040435.721,111260,81442,4.875,1.32,3.621408231,3.650460484,0.3458718103,45.59555157,289.7126585,5.832038835,1.101041667,3.22167174,3.238038391,1.153305737,86.60637327,257.7337392,2,5,pinch
6937,23,825.825,236,2179547.285,78039,66066,5.340425532,2.229166667,3.717829249,3.694884458,0.4817768946,58.54948971,297.4263399,5.41108545,1.340820313,3.257334221,3.24023622,1.060503459,83.84511181,260.5867377,2,5,pinch
7142,95,943.675,419,2017602.551,90794,75494,4.972527473,2.385185185,3.452393411,3.420103093,0.228426281,43.60865668,276.1914729,5.570043103,1.11856171,3.078337088,3.231096239,1.015958813,77.74511765,246.266967,2,6,pinch
7216,54,1151.8,410.5,3682568.972,111648,92144,4.75,1.306451613,3.308906862,3.26828238,0.3279391077,44.99720167,264.7125489,5.63187251,1.398169336,3.393956795,3.381211788,1.107448188,82.86864097,271.5165436,2,6,pinch
7275,39,910.0125,317.5,2614142.316,80466,72801,5.510416667,1.567307692,3.535310133,3.545746214,0.3575772739,44.06595166,282.8248106,5.766857143,1.128923767,3.3909122,3.39087554,0.9828782481,88.59987281,271.272976,2,6,pinch
7260,95,827.1,345,2061802.597,71768,66168,4.677754678,2.080415045,3.363055368,3.332593695,0.2724074989,46.14913493,269.0444295,5.462598425,1.172699069,3.299264625,3.345042379,0.7763030162,81.85533351,263.94117,2,6,pinch
5983,0,1015.375,285.5,3035339.706,114773,81230,6,0,3.141454908,3.542376528,2.088529135,102.2232372,251.3163926,5.887152778,0,2.417753824,2.68681194,2.59017228,134.8746225,193.4203059,2,7,pinch
5916,0,1266.0875,220.5,3756336.764,133526,101287,6,0,3.567959793,3.639944734,2.901529243,101.8570714,285.4367834,6,0,3.682072302,4,3.470391625,148.7536404,294.5657842,2,7,pinch
5954,0,1153.85,166.5,3616640.787,137028,92308,6,0,3.165568834,3.508434095,2.079760146,106.3050226,253.2455068,5.981288981,0,3.330193002,3.54712053,2.668730367,112.4400843,266.4154402,2,7,pinch
6042,0,1019.425,334.5,2961163.792,119994,81554,5,0,3.421235026,3.552905041,1.369135091,61.47441065,273.6988021,5.796491228,0,2.151402324,1.886155792,1.868936811,105.156351,172.1121859,2,7,pinch
7180,59,1032.2125,381.5,3054319.435,94690,82577,4.573529412,2.242152466,3.616559681,3.612789809,0.2368082156,40.03334179,289.3247745,5.588301462,1.352941176,3.362212748,3.400580811,0.9902353857,80.06910382,268.9770199,2,1,poke
6939,72,640.9375,361,932516.7935,49339,51275,4.720183486,1.975703325,3.525650819,3.603428954,0.3731591646,40.90800198,282.0520655,5.631880734,1.276923077,3.186957804,3.171341561,0.85655149,72.03111432,254.9566243,2,1,poke
7144,77,905.475,385,2376423.316,91296,72438,4.796407186,1.993377483,3.417868843,3.43289298,0.3389540529,49.08271304,273.4295074,5.504211793,1.7695962,3.614773574,3.540469712,0.8337538337,69.20929351,289.1818859,2,1,poke
6975,74,647.4375,362.5,1151695.49,59251,51795,4.93814433,2.06916996,3.764127608,3.821709656,0.4017179022,48.84084234,301.1302086,5.733798604,1.108163265,3.357039076,3.46450149,1.049012624,80.02880909,268.5631261,2,1,poke
5712,0,1376.4375,183.5,4010356.654,136283,110115,6,0,2.955051743,3.547395799,2.371792555,110.8349697,236.4041395,5.785276074,0,2.508081573,2.28424015,2.915073282,139.9705138,200.6465259,2,2,poke
5903,0,1413.3875,93,4180457.861,151783,113071,6,0,3.116770792,3.558559828,2.642676133,129.3618884,249.3416634,6,0,2.536864836,3,3.243458274,147.8420101,202.9491869,2,2,poke
5827,0,1189.5625,155,3903203.794,150940,95165,6,0,2.666056169,3.501886655,2.791496744,117.1909852,213.2844935,5.850810811,0,2.491020596,2.883855422,3.163687428,129.224505,199.2816476,2,2,poke
5859,0,1146.375,256,3298795.655,109534,91710,6,0,3.16874373,3.529026353,1.6966129,69.44575261,253.4994984,6,0,3.109945593,3.34714368,2.769254611,121.1505713,248.7956474,2,2,poke
6921,25,899.325,189.5,3067928.88,92688,71946,4.768867925,2.061403509,3.718480534,3.785095078,0.3517312584,52.39612424,297.4784427,5.698708752,1.078692494,3.467874137,3.445686284,1.140277228,78.30459875,277.4299309,2,3,poke
6934,13,959.1375,213,3185896.475,97135,76731,5.018867925,2.360381862,3.636620483,3.614094668,0.2203458822,39.80238659,290.9296387,5.84725537,1.235772358,3.446803098,3.404673398,0.9156797104,90.97500301,275.7442478,2,3,poke
6961,16,786.1,308.5,2087378.673,80510,62888,5.012987013,1.914473684,3.640918217,3.651949842,0.3017762481,45.86396048,291.2734574,5.81769437,1.080495356,3.160798182,3.338754166,1.425895931,79.49692629,252.8638546,2,3,poke
6896,33,835.9125,288.5,2323787.473,75835,66873,5.456221198,2.362808843,3.931995679,3.958745348,0.3713076656,48.45235096,314.5596543,5.869960988,1.249710983,3.338688436,3.324662162,1.008990859,79.25999822,267.0950749,2,3,poke
6232,0,1091.175,164.5,3576490.349,116235,87294,6,0,3.669263876,3.679862987,2.217315905,108.9189036,293.5411101,6,0,3.023864731,3.249118684,2.697530969,133.2845418,241.9091785,2,4,poke
6227,0,1116.4875,128.5,3513809.114,122501,89319,5.47826087,0,3.176185429,3.325860242,1.039774165,67.74683469,254.0948344,6,0,3.304116248,3.350191003,2.812528414,136.9979966,264.3292998,2,4,poke
6022,0,838.6625,82,2511281.467,98385,67093,6,0,3.112222983,3.32467777,1.487227851,82.84055641,248.9778386,6,0,2.771625306,2.822031793,2.368449291,145.4203527,221.7300245,2,4,poke
6147,0,1007.2625,128.5,3249676.576,110108,80581,6,0,3.604904641,3.723540404,2.365566834,120.7519404,288.3923712,6,0,3.074645255,3.325133839,2.520125565,145.7935917,245.9716204,2,4,poke
6636,0,1379.875,162.5,4880352.82,145153,110390,5.696721311,0,3.687922909,3.654096059,0.6698150772,57.77610731,295.0338327,5.899749373,0,3.457173182,3.41720519,1.844741251,104.8808442,276.5738546,2,5,poke
6645,6,1452.65,303,4882337.927,132945,116212,5,1.607142857,3.770545438,3.689138339,0.5264290741,51.93048234,301.6436351,5.935622318,1.090040928,3.595056602,3.527347531,1.24598444,98.46078926,287.6045282,2,5,poke
